strategy_uid,CAGR_reported,CAGR_without_anomaly,CAGR_inflation_pp,n_anomaly_months,n_months,anomaly_stocks
US::VOL_qb2of3__ACCRUAL_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.3137487755664425,0.23795401169577923,7.58211406178495,1,307,ACAD｜ARMP｜ASYS｜BXC｜CRNC｜PBYI｜QXO｜RLMD｜TSSI
US::REVENUE_qb0of3__CROIC_qb2of3__C2_ROE_DYN_riseq2__v1,0.3137634020384563,0.23805304858935794,7.5736731566105275,1,307,ASYS｜TSSI
US::EV_EBITDA_qb0of3__VOL_qb2of3__C9_EPS_DYN_riseq2__v1,0.3127383784489059,0.23713891314870383,7.562574744915307,1,307,ASYS｜BKKT｜CADL｜CHCI｜CNTN｜CRNC｜CTMX｜ERII｜EYPT｜FULC｜GERN｜HQI｜RCAT｜RILY｜RLMD｜SANA｜SRPT
US::EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,0.3093541485518265,0.23375794367971414,7.5622170590254445,1,307,ASYS｜CTMX
US::REVENUE_qb0of3__CROIC_qb2of3__C9_EPS_DYN_riseq2__v1,0.3083663039794493,0.23278336957259427,7.56088078812589,1,307,ASYS
US::VOL_qb2of3__CROIC_qb2of3__C2_ROE_DYN_riseq2__v1,0.3117703596532271,0.23624772650725556,7.5548824718022045,1,307,ASYS｜BXC｜TSSI
US::EV_S_qb0of3__REV_G_qb2of3__C2_ROE_DYN_riseq2__v1,0.3085582713232826,0.23317765628373666,7.540650643533464,1,307,ASYS｜BKKT｜STXS｜TSSI
US::EV_EBITDA_qb0of3__VOL_qb2of3__C2_ROE_DYN_riseq2__v1,0.3088178314131564,0.23345050456706407,7.539324247677803,1,307,ARMP｜ASYS｜BKKT｜CHCI｜CNTN｜CRNC｜ERII｜EYPT｜FULC｜GERN｜HQI｜PBYI｜RLMD｜SANA｜SRPT｜STXS
US::VOL_qb2of3__OCF_E_qb2of3__C9_EPS_DYN_riseq2__v1,0.3065956512632382,0.2313243232506037,7.529703628298967,1,307,ASYS｜BXC｜CNTN｜CTMX｜RILY
US::PS_qb0of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,0.3062005442248596,0.2309305626749878,7.529565298034657,1,307,ASYS｜CTMX
US::REVENUE_qb0of3__FCF_P_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.303396680223627,0.22815461716408048,7.526747330982153,1,307,ASYS｜CRNC｜HIG｜TSSI
US::EV_S_qb0of3__REV_G_qb2of3__C9_EPS_DYN_riseq2__v1,0.3033745989726633,0.22815042822226284,7.524957894556494,1,307,ASYS｜BKKT｜CTMX
US::REVENUE_qb0of3__VOL_qb2of3__C9_EPS_DYN_riseq2__v1,0.3019845724889973,0.2268211928029027,7.518865856638413,1,307,ASYS｜CADL｜CHCI｜CNTN｜CRNC｜CTMX｜ERII｜EYPT｜FULC｜GERN｜HQI｜PED｜RCAT｜RILY｜RLMD｜SANA｜SRPT
US::VOL_qb2of3__OCF_E_qb2of3__C2_ROE_DYN_riseq2__v1,0.3062499630299158,0.2310879567129942,7.518768235473705,1,307,ARMP｜ASYS｜BXC｜CNTN｜STXS
US::PS_qb0of3__REV_G_qb2of3__C2_ROE_DYN_riseq2__v1,0.3053173712730945,0.23015700779795,7.518595259015126,1,307,ASYS｜BKKT｜STXS｜TSSI
US::REVENUE_qb0of3__ROIC_qb2of3__C2_ROE_DYN_riseq2__v1,0.3045229869668273,0.22936658110402464,7.5181920975379235,1,307,ASYS｜SRPT
US::EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__C2_ROE_DYN_riseq2__v1,0.303811366418889,0.22871501212230805,7.512180314697181,1,307,ASYS
US::REVENUE_qb0of3__REV_G_qb2of3__C16_FCF_P_DYN_riseq2__v0,0.301244588195545,0.2262236441275507,7.504615415169735,1,307,ABEO｜ACAD｜ACRS｜ANAB｜AREC｜ASYS｜BNAI｜CATX｜DCTH｜ELA｜EYPT｜FCEL｜GSIT｜IDR｜INBX｜INSM｜JANX｜KNTK｜MVST｜NCMI｜PBYI｜QXO｜SIDU｜SLS｜SMTI｜TSSI｜UVE
US::REVENUE_qb0of3__OCF_E_qb2of3__C2_ROE_DYN_riseq2__v1,0.2990201342609413,0.22405504622283168,7.499009150010116,1,307,ARMP｜ASYS｜CNTN｜STXS
US::PS_qb0of3__REV_G_qb2of3__C9_EPS_DYN_riseq2__v1,0.2999121694426259,0.22498893906850115,7.494831666049517,1,307,ASYS｜BKKT｜CTMX
US::REVENUE_qb0of3__FCF_P_qb2of3__C9_EPS_DYN_riseq2__v1,0.2967700204485182,0.22193309417390594,7.486172101658939,1,307,ASYS｜CHCI｜CRNC
US::REVENUE_qb0of3__FCF_P_qb2of3__C2_ROE_DYN_riseq2__v1,0.2868468088980445,0.21237672086341508,7.449396573584344,1,307,ASYS｜CHCI｜CRNC｜TSSI
US::VOL_qb2of3__ACCRUAL_qb0of3__C2_ROE_DYN_riseq2__v1,0.2903607757079731,0.21596567270957157,7.441930479665393,1,307,ARMP｜ASYS｜BXC｜CHCI｜CRNC｜PBYI｜RLMD｜TSSI
US::REVENUE_qb0of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,0.288955929606502,0.21460212821061786,7.437787353904213,1,307,ASYS｜CADL｜CTMX｜ERII｜EYPT｜HQI｜PED｜RCAT｜RLMD｜SANA
US::PS_qb0of3__FCF_OI_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.288861465938566,0.21453316116880616,7.435236819878255,1,307,ASYS｜REI
US::EV_EBITDA_qb0of3__VOL_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2845640751927827,0.21030202198247983,7.428572075065398,1,307,ACAD｜ARMP｜ASYS｜CRNC｜EYPT｜HIG｜PBYI｜QXO｜RILY｜RLMD
US::VOL_qb2of3__FCF_OI_qb2of3__C9_EPS_DYN_riseq2__v1,0.2870691050682135,0.21281886849088227,7.42741347602669,1,307,ASYS｜CHCI
US::PS_qb0of3__DEBTRATIO_qb0of3__C9_EPS_DYN_riseq2__v1,0.281902384589926,0.2077110631146002,7.421474434294462,1,307,ASYS｜BKKT｜CTMX｜REI
US::PS_qb0of3__DEBTRATIO_qb0of3__C2_ROE_DYN_riseq2__v1,0.2814271168191806,0.20728282396822184,7.416767207291919,1,307,ASYS｜BKKT｜REI
US::PS_qb0of3__REV_G_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2847574502130392,0.21062281694565788,7.415831859932287,1,307,ASYS｜TSSI
US::VOL_qb2of3__None__C9_EPS_DYN_riseq2__v1,0.2855042742500999,0.21150632196270935,7.402170635145211,1,307,ASYS｜BKKT｜BXC｜CADL｜CHCI｜CNTN｜CRNC｜CTMX｜ERII｜EYPT｜FULC｜GERN｜HQI｜PED｜RCAT｜RILY｜RLMD｜SANA｜SRPT
US::VOL_qb2of3__FCF_OI_qb2of3__C2_ROE_DYN_riseq2__v1,0.2810117136095811,0.20704493203411833,7.399012265997862,1,307,ASYS｜CHCI｜PBYI
US::EV_S_qb0of3__REV_G_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2837355799659262,0.20979686289264565,7.3962308411658295,1,307,ASYS｜TSSI
US::EV_S_qb0of3__FCF_OI_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2799554759980878,0.20610500025190137,7.38737199040187,1,307,ASYS｜REI
US::EV_S_qb0of3__DEBTRATIO_qb0of3__C9_EPS_DYN_riseq2__v1,0.2781234672792687,0.20428829119163772,7.385825228150211,1,307,ASYS｜BKKT｜CTMX｜REI
US::VOL_qb2of3__ACCRUAL_qb0of3__C9_EPS_DYN_riseq2__v1,0.2800221265493445,0.20621317361882818,7.383220320270656,1,307,ASYS｜BXC｜CHCI｜CRNC｜RCAT｜RLMD
US::REVENUE_qb0of3__ACCRUAL_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.2778172954297577,0.20401232840411465,7.38280151676125,1,307,ACAD｜ARMP｜ASYS｜CRNC｜PBYI｜QXO｜RLMD｜TSSI
US::PS_qb0of3__NETDEBT_EBITDA_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.279864752022104,0.20607226655859034,7.381572129896141,1,307,ASYS
US::REVENUE_qb0of3__OCF_E_qb2of3__C9_EPS_DYN_riseq2__v1,0.2740791984462589,0.20031233565575546,7.378956887835497,1,307,ASYS｜CNTN｜CTMX｜RILY
US::EV_S_qb0of3__NETDEBT_EBITDA_qb0of3__C16_FCF_P_DYN_riseq2__v1,0.2786971221946812,0.2049411488572508,7.37791021049099,1,307,ASYS
US::PS_qb0of3__FCF_OI_qb2of3__C2_ROE_DYN_riseq2__v1,0.2786755452505032,0.20498276567411167,7.371590636607128,1,307,ASYS｜CHCI｜REI
US::REVENUE_qb0of3__OCF_E_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2662626918698307,0.19285860393256038,7.342608138740814,1,307,ARMP｜ASYS｜QXO｜RILY
US::REVENUE_qb0of3__EV_EBITDA_qb0of3__C2_ROE_DYN_riseq2__v1,0.2668276663337174,0.19345066355427898,7.3399047620018365,1,307,ARMP｜ASYS｜CHCI｜CNTN｜CRNC｜ERII｜EYPT｜FULC｜GERN｜HQI｜NAUT｜PBYI｜REI｜RLMD｜SANA｜SRPT｜STXS
US::VOL_qb2of3__None__C2_ROE_DYN_riseq2__v1,0.2698451526321284,0.19668271905835932,7.318475320058759,1,307,ARMP｜ASYS｜BKKT｜BNED｜BXC｜CHCI｜CNTN｜CRNC｜ERII｜EYPT｜FULC｜GERN｜HQI｜PBYI｜PED｜RLMD｜SANA｜SRPT｜STXS｜TSSI
US::EV_S_qb0of3__DEBTRATIO_qb0of3__C2_ROE_DYN_riseq2__v1,0.2660374504200671,0.19289183030861623,7.3167593078651505,1,307,ASYS｜BKKT｜REI
US::PS_qb0of3__FCF_OI_qb2of3__C9_EPS_DYN_riseq2__v1,0.2686591665084681,0.1955254300764624,7.31559479944488,1,307,ASYS｜CHCI｜REI
US::P_IC_qb1of3__NETDEBT_EBITDA_qb0of3__C9_EPS_DYN_riseq2__v1,0.2615997006352806,0.18866709814729687,7.295417249847724,1,307,ASYS｜CTMX｜PED｜RLMD
US::REVENUE_qb0of3__VOL_qb2of3__C16_FCF_P_DYN_riseq2__v1,0.2619656676382937,0.18907165457641728,7.291561625951815,1,307,ACAD｜ARMP｜ASYS｜CRNC｜EYPT｜HIG｜PBYI｜PED｜QXO｜RILY｜RLMD｜TSSI
US::REVENUE_qb0of3__VOL_qb2of3__C2_ROE_DYN_riseq2__v1,0.258807461635792,0.18592600820790905,7.290277048585336,1,307,ARMP｜ASYS｜CHCI｜CNTN｜CRNC｜ERII｜EYPT｜FULC｜GERN｜HQI｜PBYI｜PED｜RLMD｜SANA｜SRPT｜STXS｜TSSI
US::REVENUE_qb0of3__REV_G_qb2of3__C9_EPS_DYN_riseq2__v1,0.2603315688079455,0.18750591025241614,7.2847113627905635,1,307,ASYS｜CTMX｜ERII｜EYPT｜FULC｜RCAT
US::PB_qb0of3__ACCRUAL_qb0of3__C11_EPS_DYN_qmax8__v0,0.3984226492922718,0.32570674403848576,7.272254626558627,1,290,ASST｜CRNC｜EPM｜SIDU｜VNDA
