market,stock_id,n_events,first_jump,max_jump_x,price_max,reason
US,LVWR,1,2025-05-27,2.5346534653465347,12.29,跳動後未回落
US,UNCY,1,2023-03-06,2.530612244897959,58.5,跳動後未回落
US,BNED,2,2024-05-17,2.526670409882089,1527.0,股價絕對值不合理
TW,5468,1,2007-06-05,2.516663282248528,432.895,跳動後未回落
US,EXPE,2,2005-08-09,2.510362694300518,304.27,跳動後未回落
US,EU,4,2014-09-19,2.5,9.2,跳動後未回落
US,WVE,1,2025-12-08,2.472630173564753,55.2,跳動後未回落
US,LEU,2,2014-07-01,2.438944399895485,6821.43,跳動後未回落｜股價絕對值不合理
US,CRNC,2,2024-11-21,2.4375788146279946,133.43,跳動後未回落
US,THRM,1,2009-01-12,2.435064935064935,98.58,跳動後未回落
US,HQI,1,2005-10-07,2.427162707306141,94.77,跳動後未回落
US,GERN,1,2003-03-18,2.4207317073170733,65.99,跳動後未回落
TW,2314,1,2024-01-02,2.4194435483870964,264.184,跳動後未回落
US,NKTX,1,2022-04-25,2.4092664092664093,75.62,跳動後未回落
TW,2603,1,2022-07-29,2.4024021739130434,243.007,跳動後未回落
TW,6225,1,2022-07-29,2.4022389937106916,485.137,跳動後未回落
TW,4806,1,2024-01-02,2.3983402489626555,95.3304,跳動後未回落
US,RDNW,1,2020-07-17,2.3936567164179103,214.0,跳動後未回落
US,HYMC,1,2022-03-10,2.380952380952381,158.2,跳動後未回落
US,OLMA,1,2025-11-18,2.363849765258216,54.5,跳動後未回落
US,ARMP,4,2003-06-05,2.3636363636363638,1785000.0,跳動後未回落｜股價絕對值不合理
US,CPRX,1,2010-04-12,2.3625,31.5,跳動後未回落
US,ACAD,3,2007-03-19,2.360869565217391,57.0,跳動後未回落
US,CCCC,1,2023-12-13,2.3547008547008548,50.5,跳動後未回落
US,RLMD,1,2019-10-15,2.339285714285714,14.88,跳動後未回落
US,TVTX,1,2012-12-03,2.338308457711443,59.03,跳動後未回落
US,CELH,1,2008-10-20,2.33335,96.11,跳動後未回落
US,HROW,4,2011-03-15,2.326839826839827,57.48,跳動後未回落
US,GRBK,1,2014-03-31,2.3268292682926828,147.91,跳動後未回落
US,SIGA,1,2006-10-18,2.3046875,18.05,跳動後未回落
US,STTK,1,2023-12-13,2.303317535545024,57.61,跳動後未回落
US,PDYN,1,2024-11-22,2.3,59.88,跳動後未回落
US,AXGN,3,2003-02-14,2.285717773948472,55.9,跳動後未回落
US,ASYS,1,2000-08-16,2.2857142857142856,29.07,跳動後未回落
US,FBRX,2,2020-02-21,2.284991568296796,6525.0,跳動後未回落｜股價絕對值不合理
US,IMMR,1,2003-07-29,2.280487804878049,64.42,跳動後未回落
US,FCEL,2,2019-07-02,2.272727272727273,222569.0,跳動後未回落｜股價絕對值不合理
US,IOVA,3,2012-08-03,2.272727272727273,159.0,跳動後未回落
TW,5701,1,2023-04-26,2.26890756302521,51.8571,跳動後未回落
US,ATRC,1,2009-05-05,2.2571428571428576,87.14,跳動後未回落
US,FULC,1,2021-08-10,2.253301320528211,30.97,跳動後未回落
US,VSTM,1,2023-05-26,2.244444444444444,210.84,跳動後未回落
US,BKTI,1,2000-01-20,2.2435897435897436,96.95,跳動後未回落
US,CCOI,1,2003-06-09,2.237347294938918,78.81,跳動後未回落
US,USAU,1,2020-03-24,2.2289156626506026,27848.1,股價絕對值不合理
US,TNXP,2,2020-02-26,2.2255192878338277,1098560000.0,跳動後未回落｜股價絕對值不合理
US,BORR,1,2019-07-30,2.222352941176471,26.75,跳動後未回落
US,LAD,1,2008-10-29,2.218978102189781,427.48,跳動後未回落
US,KRYS,1,2021-11-29,2.2165285104245163,378.15,跳動後未回落
US,VKTX,2,2018-05-31,2.210239085239085,94.5,跳動後未回落
US,ABEO,2,2006-10-06,2.2083333333333335,79501.3,股價絕對值不合理
TW,3494,1,2024-01-02,2.2045826771653547,74.7933,跳動後未回落
US,BLFS,1,2009-04-14,2.2,60.5,跳動後未回落
US,INSM,2,2017-09-05,2.196094385679414,211.41,跳動後未回落
US,BXC,1,2008-12-23,2.1904761904761907,155.146,跳動後未回落
US,AMTX,2,2018-03-16,2.1875,240.0,跳動後未回落
US,PLUG,1,2000-01-07,2.179310344827586,1497.5,股價絕對值不合理
US,AGL,1,2026-05-07,2.178096947935368,1081.25,跳動後未回落｜股價絕對值不合理
TW,5301,1,2024-01-02,2.1771943127962086,464.796,跳動後未回落
US,DCH,1,2009-08-18,2.1755725190839694,36.8685,跳動後未回落
US,WLDN,1,2009-08-25,2.167630057803468,134.94,跳動後未回落
US,SNEX,1,2002-10-23,2.1666666666666665,139.01,跳動後未回落
TW,3321,1,2023-08-31,2.1617418351477453,38.222,跳動後未回落
US,NCMI,1,2023-04-12,2.1472081218274113,99.72,跳動後未回落
US,RILY,1,2014-05-20,2.1468531468531467,104.23,跳動後未回落
US,SUPN,1,2012-06-26,2.141856392294221,59.85,跳動後未回落
TW,6289,1,2022-07-29,2.1353383458646613,294.91,跳動後未回落
US,TECX,1,2025-01-30,2.132192846034215,632.4,跳動後未回落
US,AGM,1,2009-05-12,2.1315789473684212,227.6,跳動後未回落
US,ODC,39,2000-01-04,2.1242697822623473,106.44,跳動後未回落
US,KRMD,2,2003-04-28,2.111111111111111,12.42,跳動後未回落
US,MIRM,1,2019-12-16,2.10989010989011,128.57,跳動後未回落
US,QBTS,1,2023-05-22,2.107438016528926,44.78,跳動後未回落
US,VGZ,1,2002-05-20,2.1,13.23,跳動後未回落
US,ELA,1,2008-10-13,2.1,28.88,跳動後未回落
US,BNAI,2,2024-05-29,2.091666666666667,137.5,跳動後未回落
TW,9110,1,2024-01-02,2.0906432748538015,20.9486,跳動後未回落
US,PARR,1,2012-09-14,2.0833333333333335,86.03,跳動後未回落
US,ELMD,1,2013-12-30,2.0693069306930694,46.31,跳動後未回落
US,LENZ,1,2024-03-22,2.066326530612245,49.05,跳動後未回落
US,MAGN,1,2024-02-07,2.0625,317.45,跳動後未回落
US,IDT,1,2001-05-17,2.0586319218241043,69.54,跳動後未回落
US,LXRX,1,2021-01-14,2.053571428571429,329.88,跳動後未回落
US,MDLZ,1,2012-10-02,2.0515873015873014,71.47,跳動後未回落
US,IVZ,1,2007-09-27,2.047337278106509,30.5,跳動後未回落
US,DDD,1,2021-01-07,2.0427046263345194,96.42,跳動後未回落
US,GME,1,2021-02-24,2.040035587188612,86.88,跳動後未回落
US,LINC,1,2015-09-30,2.04,55.68,跳動後未回落
US,TNGX,1,2023-08-09,2.0391644908616184,32.9,跳動後未回落
US,ABOS,1,2022-09-28,2.0382978723404253,20.28,跳動後未回落
US,CPSS,1,2000-05-18,2.036231884057971,16.72,跳動後未回落
US,HIG,1,2008-12-05,2.023346303501946,145.68,跳動後未回落
US,INBX,1,2025-10-24,2.020098730606488,141.84,跳動後未回落
US,XENE,1,2021-10-04,2.019230769230769,70.96,跳動後未回落
US,DIN,1,2008-10-28,2.0174081237911023,80.57,跳動後未回落
US,REPL,1,2025-07-30,2.013333333333333,52.65,跳動後未回落
US,ANAB,1,2017-10-10,2.0120017145306472,85.7,跳動後未回落
TW,3085,1,2022-07-29,2.0091324200913245,349.919,跳動後未回落
TW,4944,1,2022-07-29,2.001955555555556,186.687,跳動後未回落
TW,4510,1,2024-07-31,2.0010682454390425,60.8157,跳動後未回落
US,NAUT,1,2021-02-08,2.000892060660125,22.43,跳動後未回落
US,SES,1,2024-12-26,2.0,11.14,跳動後未回落
US,APPS,1,2006-08-15,2.0,94.74,跳動後未回落
US,PCYO,1,2000-12-29,2.0,16.44,跳動後未回落
US,APLD,1,2022-07-19,2.0,49.65,跳動後未回落
US,LFMD,1,2002-12-13,2.0,30.55,跳動後未回落
US,RDNT,1,2000-02-14,2.0,86.38,跳動後未回落
US,HDSN,1,2019-08-26,2.0,14.96,跳動後未回落
US,MBX,1,2025-09-22,2.0,66.46,跳動後未回落
TW,3191,1,2024-01-02,2.0,59.1,跳動後未回落
US,RLGT,1,2008-11-20,2.0,9.61,跳動後未回落
US,ACHC,1,2000-01-26,2.0,89.06,跳動後未回落
