變體,因子數,primary池,可當primary的桶,Phase2晉升,最終候選,CAGR中位,CAGR_p90,CAGR最高,MDD中位,含淘汰因子的候選
strict,12,5,5,99,3186,0.1616,0.2137,0.3695,-0.556,0
openSec,19,5,5,169,5429,0.1618,0.213,0.3805,-0.5612,2243
relaxed,12,12,14,187,6016,0.1496,0.2024,0.3695,-0.5671,0
all,19,19,16,376,12092,0.1484,0.1995,0.3805,-0.5688,6076
