C_kind,mean,median,std,count
C9,0.10470201282197025,0.11331637838083641,0.06256364604956557,337
C7,0.09992516574563111,0.11111947405790723,0.07260438692661728,340
C11,0.10253102392864054,0.10826301518446102,0.07798272597363215,326
C2,0.09745725601918744,0.10601365547453545,0.06914198790913949,339
C10,0.09778218375724619,0.10471436573057757,0.06906332256593262,330
C3,0.09214788680840506,0.10350290720678856,0.07212211077277586,337
C1,0.08916034364451282,0.10209049291012007,0.06856707820948225,340
C14,0.09689437044596011,0.1018657287481155,0.06660901349585452,337
C8,0.08969687341054133,0.10168532752257131,0.07439661826348481,337
C4,0.09826970279929433,0.1010533017316837,0.0804716819640697,327
C12,0.08424275045141283,0.09103859674502479,0.06594254139006632,338
C6,0.07900270182265079,0.0867503888253709,0.06573180818076606,340
C13,0.07736878885475718,0.08607769827807732,0.06333104106500538,338
C5,0.07702872438053042,0.08585825694427074,0.0683846860207327,340
None,0.07155650846177347,0.08009203845989155,0.0636516704169942,340
C20,0.06837498994442648,0.07843092582325417,0.06836957593055326,340
C19,0.06404434563852733,0.07378468544875216,0.07635166837657756,340
C15,0.061602165980974934,0.07069051093691592,0.07282203250685917,340
C16,0.05791376574795485,0.0676361196469577,0.07445416724206697,340
C17,0.031657344578218435,0.03940937676652978,0.07061192378016357,339
C18,0.032603969412619366,0.02617473731952591,0.0641458925069533,332
