tree_key,group,n_members,n_draws,is_cagr,is_cagr_std,is_mdd,is_mdd_std,is_sharpe,is_sharpe_std,is_enb,is_enb_std,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std,n_clusters_covered,max_cluster_share,note
TW,A_hrp,30,1,0.2617788848288869,,-0.3197039648996549,,1.121540276906795,,5.109647174056927,,0.19553171237766076,,-0.18551416112222163,,1.1255229516163001,,2.773722143239507,,6,0.1667,
TW,D_top_cagr,30,1,0.332801572533322,,-0.45672865238615945,,0.9306326907909918,,3.650590293083736,,0.225654865472122,,-0.21402821839467823,,1.2080931574625815,,2.4771810788114013,,6,0.5667,
TW,E_top_calmar,30,1,0.27001374663557476,,-0.2883146087787948,,1.1790036201333376,,3.561430383956364,,0.22080511515686818,,-0.18680087275871227,,1.2456506691798737,,2.143011980245582,,5,0.4,
TW,B_all,6679,1,0.13190624411143292,,-0.5490781259939754,,0.6763243724087832,,3.2651,,0.17592414478641527,,-0.1986588648397608,,1.040249578140551,,3.2651,,6,0.4632,ENB沿用H-09全時間窗(2007-2025)的enb_raw，非IS/OOS各自重算，見模組docstring
TW,C_random,30,200,0.13152533842682299,0.00875033833742666,-0.5488042481936833,0.017940593292979073,0.6722214192087986,0.0354848225264476,2.428975047307797,0.27808993381932057,0.17557441235381016,0.008809362691009404,-0.19951898667876317,0.007326790602996795,1.035570668076741,0.042913926575483624,2.2697136723015303,0.1784622286369909,5,0.4752,200次獨立抽樣(seed=42)的平均值±標準差；n_clusters_covered/max_cluster_share為200次抽樣的平均
US,A_hrp,35,1,0.35246541637209416,,-0.2625951231080914,,1.8029469419708997,,7.345684994350296,,0.3248113769449241,,-0.29309520102650766,,1.2438103079118634,,3.872039580775713,,7,0.1429,
US,D_top_cagr,35,1,0.49642604552539416,,-0.40604961003958306,,1.705506146119211,,5.619601176764529,,0.5314664355813472,,-0.2375144677133717,,1.5757553628478416,,3.269299105310512,,6,0.5429,
US,E_top_calmar,35,1,0.42673899214792455,,-0.22840159581157815,,1.5428936667122353,,7.415121118209437,,0.38084673216671483,,-0.27427581020816616,,1.3303433156833533,,3.5865292889657163,,5,0.3143,
US,B_all,8360,1,0.21098062554454144,,-0.5003146190735108,,1.0935678293452233,,4.3635,,0.2531244051790753,,-0.3401741832982075,,1.0072095259274785,,4.3635,,7,0.2946,ENB沿用H-09全時間窗(2007-2025)的enb_raw，非IS/OOS各自重算，見模組docstring
US,C_random,35,200,0.21172464331782237,0.009789002620259201,-0.5016585767521362,0.016312322277015723,1.0894330398479022,0.03824637023943433,3.3583089675414244,0.30035765111410656,0.2532516107606618,0.01708798518533728,-0.34158609499835785,0.012869231413461961,1.0018259483552772,0.042231476549337794,2.5612344549831834,0.18810981432735166,7,0.3269,200次獨立抽樣(seed=42)的平均值±標準差；n_clusters_covered/max_cluster_share為200次抽樣的平均
XM,A_hrp,15,1,0.3051420209781459,,-0.16278642611696814,,1.7362022610913055,,7.510808104333199,,0.28245297641109257,,-0.22207207997062595,,1.388647992849769,,5.050696408163119,,3,0.3333,
XM,D_top_cagr,15,1,0.47585821705924514,,-0.3523439048402037,,0.8471945794049709,,4.486030023014905,,0.517911874459297,,-0.25558208566989216,,1.4130922681435776,,2.8657282977811227,,1,1.0,
XM,E_top_calmar,15,1,0.41698758343192455,,-0.20515113700104481,,0.8016673791433558,,4.5495866329314865,,0.4294650777321063,,-0.2576803378774053,,1.3362583048150076,,3.0030819674719393,,1,1.0,
XM,B_all,15040,1,0.1505562385779331,,-0.48445999609346047,,0.8487543416502351,,5.7732,,0.22523885859943538,,-0.2786485591168768,,1.1416231421955334,,5.7732,,3,0.4441,ENB沿用H-09全時間窗(2007-2025)的enb_raw，非IS/OOS各自重算，見模組docstring
XM,C_random,15,200,0.14982431144032896,0.012318892897995119,-0.48764013267851225,0.02478340452892067,0.833742945948707,0.05994127287006202,3.474377502169308,0.3562916768869732,0.22360535322342273,0.02319131732901704,-0.27622823662775065,0.023643194818174507,1.1229668236838632,0.07446248260834741,3.263936414443134,0.2821606592161289,3,0.4897,200次獨立抽樣(seed=42)的平均值±標準差；n_clusters_covered/max_cluster_share為200次抽樣的平均
