opponent,metric,tree_key,scheme,window_no,win_share,n_settings,unit_win
B_all,cagr,XM,I,1,1.0,20,True
B_all,cagr,XM,I,2,1.0,20,True
B_all,cagr,XM,J,1,0.9,20,True
B_all,cagr,XM,J,2,0.6,20,True
B_all,cagr,XM,J,3,0.95,20,True
B_all,cagr,XM,K,1,0.8,20,True
B_all,cagr,XM,K,2,1.0,20,True
B_all,cagr,XM,L,1,0.9,20,True
B_all,cagr,XM,L,2,0.95,20,True
B_all,cagr,XM,R,1,1.0,20,True
B_all,cagr,XM,R,2,1.0,20,True
B_all,cagr,XM,R,3,0.7,20,True
B_all,cagr,XM,R,4,1.0,20,True
B_all,calmar,TW,A,1,0.7,20,True
B_all,calmar,TW,A,2,1.0,20,True
B_all,calmar,TW,A,3,1.0,20,True
B_all,calmar,TW,A,4,1.0,20,True
B_all,calmar,TW,A,5,1.0,20,True
B_all,calmar,TW,A,6,1.0,20,True
B_all,calmar,TW,B,1,1.0,20,True
B_all,calmar,TW,B,2,1.0,20,True
B_all,calmar,TW,B,3,1.0,20,True
B_all,calmar,TW,B,4,1.0,20,True
B_all,calmar,TW,C,1,1.0,20,True
B_all,calmar,TW,C,2,1.0,20,True
B_all,calmar,TW,C,3,1.0,20,True
B_all,calmar,TW,D,1,1.0,20,True
B_all,calmar,TW,D,2,1.0,20,True
B_all,calmar,TW,D,3,1.0,20,True
B_all,calmar,TW,D,4,1.0,20,True
B_all,calmar,TW,D,5,1.0,20,True
B_all,calmar,TW,E,1,1.0,20,True
B_all,calmar,TW,E,2,1.0,20,True
B_all,calmar,TW,E,3,1.0,20,True
B_all,calmar,TW,E,4,0.1,20,False
B_all,calmar,TW,F,1,1.0,20,True
B_all,calmar,TW,F,2,1.0,20,True
B_all,calmar,TW,F,3,1.0,20,True
B_all,calmar,TW,G,1,1.0,20,True
B_all,calmar,TW,G,2,1.0,20,True
B_all,calmar,TW,G,3,1.0,20,True
B_all,calmar,TW,G,4,1.0,20,True
B_all,calmar,TW,H,1,1.0,20,True
B_all,calmar,TW,H,2,1.0,20,True
B_all,calmar,TW,H,3,1.0,20,True
B_all,calmar,TW,I,1,1.0,20,True
B_all,calmar,TW,I,2,1.0,20,True
B_all,calmar,TW,J,1,1.0,20,True
B_all,calmar,TW,J,2,1.0,20,True
B_all,calmar,TW,J,3,1.0,20,True
B_all,calmar,TW,K,1,1.0,20,True
B_all,calmar,TW,K,2,1.0,20,True
B_all,calmar,TW,L,1,1.0,20,True
B_all,calmar,TW,L,2,1.0,20,True
B_all,calmar,TW,R,1,1.0,20,True
B_all,calmar,TW,R,2,1.0,20,True
B_all,calmar,TW,R,3,1.0,20,True
B_all,calmar,TW,R,4,0.0,20,False
B_all,calmar,US,A,1,1.0,20,True
B_all,calmar,US,A,2,0.2,20,False
B_all,calmar,US,A,3,1.0,20,True
B_all,calmar,US,A,4,1.0,20,True
B_all,calmar,US,A,5,0.5,20,False
B_all,calmar,US,A,6,1.0,20,True
B_all,calmar,US,B,1,1.0,20,True
B_all,calmar,US,B,2,1.0,20,True
B_all,calmar,US,B,3,1.0,20,True
B_all,calmar,US,B,4,1.0,20,True
B_all,calmar,US,C,1,0.9,20,True
B_all,calmar,US,C,2,1.0,20,True
B_all,calmar,US,C,3,1.0,20,True
B_all,calmar,US,D,1,0.2,20,False
B_all,calmar,US,D,2,1.0,20,True
B_all,calmar,US,D,3,1.0,20,True
B_all,calmar,US,D,4,0.5,20,False
B_all,calmar,US,D,5,1.0,20,True
B_all,calmar,US,E,1,0.8,20,True
B_all,calmar,US,E,2,1.0,20,True
B_all,calmar,US,E,3,0.85,20,True
B_all,calmar,US,E,4,1.0,20,True
B_all,calmar,US,F,1,1.0,20,True
B_all,calmar,US,F,2,1.0,20,True
B_all,calmar,US,F,3,1.0,20,True
B_all,calmar,US,G,1,1.0,20,True
B_all,calmar,US,G,2,1.0,20,True
B_all,calmar,US,G,3,0.5,20,False
B_all,calmar,US,G,4,1.0,20,True
B_all,calmar,US,H,1,1.0,20,True
B_all,calmar,US,H,2,1.0,20,True
B_all,calmar,US,H,3,1.0,20,True
B_all,calmar,US,I,1,1.0,20,True
B_all,calmar,US,I,2,1.0,20,True
B_all,calmar,US,J,1,1.0,20,True
B_all,calmar,US,J,2,0.5,20,False
B_all,calmar,US,J,3,1.0,20,True
B_all,calmar,US,K,1,1.0,20,True
B_all,calmar,US,K,2,1.0,20,True
B_all,calmar,US,L,1,1.0,20,True
B_all,calmar,US,L,2,1.0,20,True
B_all,calmar,US,R,1,0.9,20,True
B_all,calmar,US,R,2,1.0,20,True
B_all,calmar,US,R,3,0.5,20,False
B_all,calmar,US,R,4,1.0,20,True
B_all,calmar,XM,A,1,0.95,20,True
B_all,calmar,XM,A,2,1.0,20,True
B_all,calmar,XM,A,3,1.0,20,True
B_all,calmar,XM,A,4,1.0,20,True
B_all,calmar,XM,A,5,0.7,20,True
B_all,calmar,XM,A,6,0.95,20,True
B_all,calmar,XM,B,1,0.95,20,True
B_all,calmar,XM,B,2,1.0,20,True
B_all,calmar,XM,B,3,1.0,20,True
B_all,calmar,XM,B,4,1.0,20,True
B_all,calmar,XM,C,1,1.0,20,True
B_all,calmar,XM,C,2,1.0,20,True
B_all,calmar,XM,C,3,1.0,20,True
B_all,calmar,XM,D,1,1.0,20,True
B_all,calmar,XM,D,2,1.0,20,True
B_all,calmar,XM,D,3,1.0,20,True
B_all,calmar,XM,D,4,0.7,20,True
B_all,calmar,XM,D,5,0.95,20,True
B_all,calmar,XM,E,1,1.0,20,True
B_all,calmar,XM,E,2,1.0,20,True
B_all,calmar,XM,E,3,1.0,20,True
B_all,calmar,XM,E,4,1.0,20,True
B_all,calmar,XM,F,1,1.0,20,True
B_all,calmar,XM,F,2,1.0,20,True
B_all,calmar,XM,F,3,0.95,20,True
B_all,calmar,XM,G,1,1.0,20,True
B_all,calmar,XM,G,2,1.0,20,True
B_all,calmar,XM,G,3,0.7,20,True
B_all,calmar,XM,G,4,0.95,20,True
B_all,calmar,XM,H,1,0.95,20,True
B_all,calmar,XM,H,2,0.9,20,True
B_all,calmar,XM,H,3,0.95,20,True
B_all,calmar,XM,I,1,1.0,20,True
B_all,calmar,XM,I,2,1.0,20,True
B_all,calmar,XM,J,1,1.0,20,True
B_all,calmar,XM,J,2,0.7,20,True
B_all,calmar,XM,J,3,0.95,20,True
B_all,calmar,XM,K,1,1.0,20,True
B_all,calmar,XM,K,2,1.0,20,True
B_all,calmar,XM,L,1,1.0,20,True
B_all,calmar,XM,L,2,0.95,20,True
B_all,calmar,XM,R,1,1.0,20,True
B_all,calmar,XM,R,2,1.0,20,True
B_all,calmar,XM,R,3,0.6,20,True
B_all,calmar,XM,R,4,1.0,20,True
B_all,mdd,TW,A,1,0.55,20,True
B_all,mdd,TW,A,2,1.0,20,True
B_all,mdd,TW,A,3,1.0,20,True
B_all,mdd,TW,A,4,1.0,20,True
B_all,mdd,TW,A,5,0.0,20,False
B_all,mdd,TW,A,6,0.45,20,False
B_all,mdd,TW,B,1,1.0,20,True
B_all,mdd,TW,B,2,1.0,20,True
B_all,mdd,TW,B,3,1.0,20,True
B_all,mdd,TW,B,4,0.0,20,False
B_all,mdd,TW,C,1,1.0,20,True
B_all,mdd,TW,C,2,0.9,20,True
B_all,mdd,TW,C,3,0.0,20,False
B_all,mdd,TW,D,1,1.0,20,True
B_all,mdd,TW,D,2,1.0,20,True
B_all,mdd,TW,D,3,1.0,20,True
B_all,mdd,TW,D,4,0.0,20,False
B_all,mdd,TW,D,5,0.45,20,False
B_all,mdd,TW,E,1,1.0,20,True
B_all,mdd,TW,E,2,0.85,20,True
B_all,mdd,TW,E,3,0.0,20,False
B_all,mdd,TW,E,4,0.6,20,True
B_all,mdd,TW,F,1,1.0,20,True
B_all,mdd,TW,F,2,1.0,20,True
B_all,mdd,TW,F,3,0.45,20,False
B_all,mdd,TW,G,1,1.0,20,True
B_all,mdd,TW,G,2,1.0,20,True
B_all,mdd,TW,G,3,0.0,20,False
B_all,mdd,TW,G,4,0.45,20,False
B_all,mdd,TW,H,1,1.0,20,True
B_all,mdd,TW,H,2,1.0,20,True
B_all,mdd,TW,H,3,0.45,20,False
B_all,mdd,TW,I,1,0.9,20,True
B_all,mdd,TW,I,2,0.0,20,False
B_all,mdd,TW,J,1,1.0,20,True
B_all,mdd,TW,J,2,0.0,20,False
B_all,mdd,TW,J,3,0.45,20,False
B_all,mdd,TW,K,1,1.0,20,True
B_all,mdd,TW,K,2,0.0,20,False
B_all,mdd,TW,L,1,1.0,20,True
B_all,mdd,TW,L,2,0.45,20,False
B_all,mdd,TW,R,1,1.0,20,True
B_all,mdd,TW,R,2,0.9,20,True
B_all,mdd,TW,R,3,0.0,20,False
B_all,mdd,TW,R,4,0.0,20,False
B_all,mdd,US,A,1,1.0,20,True
B_all,mdd,US,A,2,0.8,20,True
B_all,mdd,US,A,3,1.0,20,True
B_all,mdd,US,A,4,1.0,20,True
