tree_key,is_start,is_end,n_is_months,n_strategies,linkage_method,k_fixed,k_is_selected,same_as_fixed,sil_at_selected,sil_at_fixed,max_share_at_fixed,degenerate_fallback,sil_gap
TW,2007-01,2012-12,72,6679,ward,6,11,False,0.04055639191595057,0.03491833607992538,0.4250636322802815,True,0.0056380558360251895
TW,2007-01,2014-12,96,6679,ward,6,7,False,0.04260319606360742,0.035730182768653654,0.39646653690672257,True,0.006873013294953767
TW,2007-01,2016-12,120,6679,ward,6,7,False,0.03318267196032931,0.026796519292795085,0.3445126515945501,True,0.006386152667534228
TW,2007-01,2018-12,144,6679,ward,6,6,True,0.043742863751378314,0.043742863751378314,0.46324300044916905,True,0.0
TW,2007-01,2020-12,168,6679,ward,6,6,True,0.046412764899674185,0.046412764899674185,0.3787992214403354,True,0.0
TW,2007-01,2022-12,192,6679,ward,6,10,False,0.031111377521124944,0.011727934371431941,0.4102410540500075,True,0.019383443149693
TW,2007-01,2015-12,108,6679,ward,6,7,False,0.039933009247210195,0.03382428028390226,0.3910765084593502,True,0.006108728963307934
TW,2007-01,2021-12,180,6679,ward,6,6,True,0.03735432707125904,0.03735432707125904,0.3451115436442581,True,0.0
TW,2007-01,2017-12,132,6679,ward,6,7,False,0.041396324070869524,0.03588607934365273,0.39017817038478814,True,0.005510244727216791
TW,2007-01,2023-12,204,6679,ward,6,6,True,0.03609237214133168,0.03609237214133168,0.34975295702949544,True,0.0
TW,2007-01,2019-12,156,6679,ward,6,7,False,0.05338157779893577,0.047644458588464195,0.3924240155711933,True,0.0057371192104715765
TW,2010-01,2017-12,96,6680,ward,6,5,False,0.03972884480729745,-0.004643968154788172,0.2404191616766467,True,0.044372812962085624
TW,2013-01,2020-12,96,6680,ward,6,12,False,0.04665720064970775,0.020859703012032407,0.30104790419161676,False,0.025797497637675342
TW,2016-01,2023-12,96,6680,ward,6,5,False,0.04968883493696334,0.011205829851484663,0.33278443113772455,False,0.03848300508547868
US,2002-01,2012-12,132,8360,ward,7,5,False,0.06819716955274964,0.06232001597981709,0.2703349282296651,False,0.005877153572932552
US,2002-01,2014-12,156,8360,ward,7,8,False,0.05305963658394508,0.048707978660637585,0.25035885167464117,False,0.004351657923307495
US,2002-01,2016-12,180,8360,ward,7,5,False,0.06312746761074468,0.05289849455705207,0.26758373205741626,False,0.010228973053692615
US,2002-01,2018-12,204,8360,ward,7,7,True,0.05348823900064892,0.05348823900064892,0.2946172248803828,False,0.0
US,2002-01,2020-12,228,8360,ward,7,12,False,0.04539596668745845,0.041737930738175034,0.2587320574162679,False,0.0036580359492834127
US,2002-01,2022-12,252,8360,ward,7,6,False,0.060725651491947294,0.05915571684426989,0.35825358851674644,False,0.0015699346476774068
US,2002-01,2015-12,168,8360,ward,7,5,False,0.06413212481130287,0.054922989214703684,0.28205741626794256,False,0.009209135596599187
US,2002-01,2021-12,240,8360,ward,7,7,True,0.06363486305735395,0.06363486305735395,0.390311004784689,False,0.0
US,2002-01,2017-12,192,8360,ward,7,5,False,0.05378329447807774,0.051151278274927464,0.24688995215311005,False,0.0026320162031502753
US,2002-01,2023-12,264,8360,ward,7,7,True,0.06144004128904143,0.06144004128904143,0.3344497607655502,False,0.0
US,2002-01,2019-12,216,8360,ward,7,6,False,0.04973414198477621,0.04528922208673113,0.23576555023923446,False,0.004444919898045074
US,2007-01,2014-12,96,8361,ward,7,4,False,0.0820334963453938,0.06083752559695105,0.27006338954670495,False,0.021195970748442747
US,2010-01,2017-12,96,8361,ward,7,7,True,0.05373681921038867,0.05373681921038867,0.30403061834708767,True,0.0
US,2013-01,2020-12,96,8361,ward,7,6,False,0.08121300157864443,0.06009837404565288,0.32328668819519196,False,0.02111462753299155
US,2016-01,2023-12,96,8361,ward,7,8,False,0.07642680315235513,0.07020692060576723,0.2876450185384523,False,0.006219882546587896
XM,2007-01,2012-12,72,15040,ward,3,4,False,0.24827574692720739,0.3411477688823742,0.5174867021276596,True,-0.0928720219551668
XM,2007-01,2014-12,96,15040,ward,3,4,False,0.21569452096972558,0.3230772412515635,0.5136968085106383,True,-0.10738272028183793
XM,2007-01,2016-12,120,15040,ward,3,4,False,0.23379280452641416,0.23317641108444975,0.4440824468085106,False,0.0006163934419644024
XM,2007-01,2018-12,144,15040,ward,3,3,True,0.2473447133812584,0.2473447133812584,0.4440824468085106,False,0.0
XM,2007-01,2020-12,168,15040,ward,3,3,True,0.22421967450386582,0.22421967450386582,0.4440824468085106,False,0.0
XM,2007-01,2022-12,192,15040,ward,3,4,False,0.22819248071978115,0.2171130944167371,0.4440824468085106,False,0.011079386303044059
XM,2007-01,2015-12,108,15040,ward,3,3,True,0.24050316992381424,0.24050316992381424,0.4440824468085106,False,0.0
XM,2007-01,2021-12,180,15040,ward,3,4,False,0.2274571453524833,0.22019982603993335,0.4440824468085106,False,0.0072573193125499424
XM,2007-01,2017-12,132,15040,ward,3,3,True,0.2368994216428293,0.2368994216428293,0.4440824468085106,False,0.0
XM,2007-01,2023-12,204,15040,ward,3,3,True,0.27822293441876766,0.27822293441876766,0.4440824468085106,False,0.0
XM,2007-01,2019-12,156,15040,ward,3,4,False,0.2309793640807105,0.23084055270377749,0.4440824468085106,False,0.00013881137693300127
XM,2010-01,2017-12,96,15041,ward,3,4,False,0.27683886906527716,0.2691843657721046,0.44411940695432484,False,0.0076545032931725765
XM,2013-01,2020-12,96,15041,ward,3,4,False,0.1949659540829386,0.18702912012368927,0.44411940695432484,False,0.007936833959249323
XM,2016-01,2023-12,96,15041,ward,3,3,True,0.2828248745541616,0.2828248745541616,0.44411940695432484,False,0.0
