PRIMARY_MARGIN,可當primary的桶,晉升組合,最終候選,CAGR中位,CAGR_p90,CAGR最高
0.02,16,188,6916,0.2361395152918671,0.33865560753131674,0.6893733601720373
0.025,14,184,6763,0.2375516643759296,0.3393771346808021,0.6893733601720373
0.03,12,178,6543,0.2404143409329979,0.3411430637933407,0.6893733601720373
0.04,9,160,5878,0.24877427861939733,0.34621170342034824,0.6893733601720373
0.05,8,151,5558,0.2523852832386207,0.34930953485852945,0.6893733601720373
