tree_key,metric,ratio,n_cells,z_mean,z_median,pct_A_wins,pct_z_over_2,pct_z_under_neg2,diff_mean,diff_median,random_std_mean,se_binomial_nominal,evidence_type
TW,oos_cagr,ALL,900,4.601405963938212,4.394095527343429,0.9488888888888889,0.8866666666666667,0.025555555555555557,0.021759598330396316,0.020164437973418603,0.0053410441488170556,0.016666666666666666,confirmatory
US,oos_cagr,ALL,900,5.2092771446247905,4.480962584078547,0.8555555555555555,0.7266666666666667,0.03,0.04091437171939577,0.0357019250164551,0.009526211898006889,0.016666666666666666,confirmatory
XM,oos_cagr,ALL,900,5.405482702304981,4.29721809242313,0.9222222222222223,0.7288888888888889,0.015555555555555555,0.0349068387703157,0.024679749266781445,0.00913716874436049,0.016666666666666666,confirmatory
TW,oos_cagr,0.01,180,3.9505201501210636,4.0430998538938585,0.9555555555555556,0.8888888888888888,0.03333333333333333,0.02834949947593349,0.029667439105792053,0.00711406411173497,0.037267799624996496,exploratory
US,oos_cagr,0.01,180,4.402658682877949,4.358943713622159,0.8444444444444444,0.7666666666666667,0.022222222222222223,0.05214684222075262,0.0547161574582915,0.012286543466348119,0.037267799624996496,exploratory
XM,oos_cagr,0.01,180,4.823245490418848,4.239358337183532,1.0,0.8277777777777777,0.0,0.037860152211723994,0.035628110941739594,0.00840395177561287,0.037267799624996496,exploratory
TW,oos_cagr,0.03,180,5.103704037694778,5.46564384224612,0.95,0.9388888888888889,0.022222222222222223,0.020577912012095387,0.01908141772981771,0.004018183294356104,0.037267799624996496,exploratory
US,oos_cagr,0.03,180,4.679033949058461,3.75167329411326,0.8166666666666667,0.6722222222222223,0.044444444444444446,0.031086049023068725,0.023646329568598135,0.006814483870341935,0.037267799624996496,exploratory
XM,oos_cagr,0.03,180,2.7611132632564295,1.693206394513164,0.7944444444444444,0.4777777777777778,0.005555555555555556,0.011827246096007663,0.00988606324497221,0.004949056614257425,0.037267799624996496,exploratory
TW,oos_cagr,0.05,180,4.7887269891270305,4.827109642318543,0.9388888888888889,0.8722222222222222,0.022222222222222223,0.015206483800546799,0.013636194070864693,0.0031337268209166718,0.037267799624996496,exploratory
US,oos_cagr,0.05,180,5.052670964902141,3.928063614595456,0.8666666666666667,0.6888888888888889,0.05,0.02657831236079973,0.016378755538287937,0.005460073708552567,0.037267799624996496,exploratory
XM,oos_cagr,0.05,180,5.342721887732093,5.265089820022611,0.9277777777777778,0.8111111111111111,0.06111111111111111,0.019318367006902946,0.0172797765174382,0.003689152926659484,0.037267799624996496,exploratory
TW,oos_cagr,0.1,180,6.0269924427550965,6.483612654300417,0.9333333333333333,0.9166666666666666,0.03888888888888889,0.012488601293629411,0.01143919144850769,0.0021405633987353887,0.037267799624996496,exploratory
US,oos_cagr,0.1,180,8.61158249958669,8.303029963281915,0.8944444444444445,0.8111111111111111,0.03333333333333333,0.030855357851140262,0.03226355036334211,0.003763754564283936,0.037267799624996496,exploratory
XM,oos_cagr,0.1,180,11.118613058682977,11.1311107106144,0.9388888888888889,0.9166666666666666,0.011111111111111112,0.02773965625336142,0.02701415939808749,0.0025363478362799845,0.037267799624996496,exploratory
TW,oos_cagr,legacy,180,3.1370861999930955,3.0994622399803196,0.9666666666666667,0.8166666666666667,0.011111111111111112,0.03217549506977648,0.03605892506833441,0.010298683118342138,0.037267799624996496,exploratory
US,oos_cagr,legacy,180,3.30043962669871,3.790640066247196,0.8555555555555555,0.6944444444444444,0.0,0.0639052971412175,0.061964187868251114,0.01930620388050789,0.037267799624996496,exploratory
XM,oos_cagr,legacy,180,2.9817198114345596,2.9296189806285824,0.95,0.6111111111111112,0.0,0.0777887722835825,0.05501317571389541,0.026107334568992682,0.037267799624996496,exploratory
TW,oos_mdd,ALL,900,1.3214701933250643,1.326757752820142,0.6744444444444444,0.38555555555555554,0.04111111111111111,0.004409319099904006,0.004407048984944206,0.003484618416206884,0.016666666666666666,confirmatory
US,oos_mdd,ALL,900,4.152104665596953,3.396297308065475,0.8666666666666667,0.6477777777777778,0.06111111111111111,0.018573586868204425,0.016395695998638854,0.005804254869002003,0.016666666666666666,confirmatory
XM,oos_mdd,ALL,900,2.847518583856421,2.5232320177196548,0.8622222222222222,0.5811111111111111,0.044444444444444446,0.014045141385375643,0.011311115971880753,0.00655270073586076,0.016666666666666666,confirmatory
TW,oos_mdd,0.01,180,1.2594779930255695,1.2606231525497564,0.7333333333333333,0.36666666666666664,0.022222222222222223,0.005839673245208708,0.005684308616925621,0.004549057567244325,0.037267799624996496,exploratory
US,oos_mdd,0.01,180,3.8555703125244483,3.9773353041844755,0.8944444444444445,0.6666666666666666,0.011111111111111112,0.024097453666549026,0.02230351657670379,0.007447474403201034,0.037267799624996496,exploratory
XM,oos_mdd,0.01,180,2.9636418085755767,2.4291505414037005,0.9611111111111111,0.5944444444444444,0.011111111111111112,0.018821295117434394,0.015170167503858203,0.006227265531086511,0.037267799624996496,exploratory
TW,oos_mdd,0.03,180,1.36008753153192,1.7329239940577759,0.7,0.4444444444444444,0.044444444444444446,0.003618023065436631,0.0043622221301631015,0.0026680455186912713,0.037267799624996496,exploratory
US,oos_mdd,0.03,180,4.007615633843461,3.396297308065475,0.8333333333333334,0.6055555555555555,0.05,0.016128275988211337,0.012662109296815244,0.004431696675621956,0.037267799624996496,exploratory
XM,oos_mdd,0.03,180,2.330942667668097,2.6724534155511908,0.8666666666666667,0.6166666666666667,0.07777777777777778,0.009163069465908714,0.009233305744842893,0.0035848971856754395,0.037267799624996496,exploratory
TW,oos_mdd,0.05,180,1.2293448545262446,1.868717909060849,0.5722222222222222,0.4888888888888889,0.07222222222222222,0.0025653574373494296,0.003587279009491795,0.0020542099078890426,0.037267799624996496,exploratory
US,oos_mdd,0.05,180,4.173065105338935,3.908284255188851,0.9,0.6833333333333333,0.08888888888888889,0.013727806272325043,0.014410210039716306,0.0034005060557303363,0.037267799624996496,exploratory
XM,oos_mdd,0.05,180,3.1970597372001603,3.1603247274003095,0.8666666666666667,0.6333333333333333,0.06111111111111111,0.009576384375773928,0.008341281064948247,0.002766315917681066,0.037267799624996496,exploratory
TW,oos_mdd,0.1,180,1.6259192549853385,0.6662132868209107,0.5722222222222222,0.3611111111111111,0.044444444444444446,0.002436793784953163,0.0008912850705103947,0.00143751174217306,0.037267799624996496,exploratory
US,oos_mdd,0.1,180,6.171296660834365,5.270645815715873,0.8,0.7333333333333333,0.13333333333333333,0.012626027648185661,0.012341766490287953,0.0022863473474834294,0.037267799624996496,exploratory
XM,oos_mdd,0.1,180,4.449394396180809,4.1317530026714895,0.8444444444444444,0.6611111111111111,0.07222222222222222,0.008972778870761158,0.007284168501870719,0.0019087767617627107,0.037267799624996496,exploratory
