tree_id,level,min_members,pair_type,n_clusters,n_pairs,corr_min,corr_median,corr_max,n_high,n_mid,n_low,pct_high
TW_normal,L1,1,same,6,15,0.5386536213225516,0.8185861100977246,0.9819221083107389,0,6,9,0.0
TW_normal,L1,1,cross,6,0,,,,0,0,0,
TW_normal,L1,5,same,6,15,0.5386536213225516,0.8185861100977246,0.9819221083107389,0,6,9,0.0
TW_normal,L1,5,cross,6,0,,,,0,0,0,
TW_normal,L1,20,same,6,15,0.5386536213225516,0.8185861100977246,0.9819221083107389,0,6,9,0.0
TW_normal,L1,20,cross,6,0,,,,0,0,0,
TW_normal,L3,1,same,218,23653,0.2137028797160564,0.8493446560315582,0.9934620022667328,391,6587,16675,0.016530672641948168
TW_normal,L3,1,cross,218,0,,,,0,0,0,
TW_normal,L3,5,same,214,22791,0.2137028797160564,0.8526994037469616,0.9934620022667328,368,5810,16613,0.01614672458426572
TW_normal,L3,5,cross,214,0,,,,0,0,0,
TW_normal,L3,20,same,110,5995,0.33901666807166353,0.9066127992915187,0.9934620022667328,50,672,5273,0.008340283569641367
TW_normal,L3,20,cross,110,0,,,,0,0,0,
US_normal,L1,1,same,7,21,0.846821861666583,0.9105604104013372,0.966279009830499,0,0,21,0.0
US_normal,L1,1,cross,7,0,,,,0,0,0,
US_normal,L1,5,same,7,21,0.846821861666583,0.9105604104013372,0.966279009830499,0,0,21,0.0
US_normal,L1,5,cross,7,0,,,,0,0,0,
US_normal,L1,20,same,7,21,0.846821861666583,0.9105604104013372,0.966279009830499,0,0,21,0.0
US_normal,L1,20,cross,7,0,,,,0,0,0,
US_normal,L3,1,same,235,27495,0.1379178560409967,0.8188531435049217,0.9908876656784875,242,10864,16389,0.008801600290961994
US_normal,L3,1,cross,235,0,,,,0,0,0,
US_normal,L3,5,same,234,27261,0.1379178560409967,0.8197330540474307,0.9908876656784875,231,10641,16389,0.008473643666776713
US_normal,L3,5,cross,234,0,,,,0,0,0,
US_normal,L3,20,same,160,12720,0.5176488023186212,0.8573997205396819,0.9908876656784875,0,2335,10385,0.0
US_normal,L3,20,cross,160,0,,,,0,0,0,
XM_normal,L1,1,same,3,1,0.9376513719840324,0.9376513719840324,0.9376513719840324,0,0,1,0.0
XM_normal,L1,1,cross,3,2,0.5360565013529409,0.5417957683698452,0.5475350353867495,0,2,0,0.0
XM_normal,L1,5,same,3,1,0.9376513719840324,0.9376513719840324,0.9376513719840324,0,0,1,0.0
XM_normal,L1,5,cross,3,2,0.5360565013529409,0.5417957683698452,0.5475350353867495,0,2,0,0.0
XM_normal,L1,20,same,3,1,0.9376513719840324,0.9376513719840324,0.9376513719840324,0,0,1,0.0
XM_normal,L1,20,cross,3,2,0.5360565013529409,0.5417957683698452,0.5475350353867495,0,2,0,0.0
XM_normal,L3,1,same,453,52882,0.11884246527640033,0.8341540912726665,0.9935414623055594,607,17614,34661,0.01147838584017246
XM_normal,L3,1,cross,453,49496,0.023332102396348947,0.45795953872226053,0.8623557010795649,39862,9632,2,0.805358008727978
XM_normal,L3,5,same,448,51716,0.11884246527640033,0.8362859190410648,0.9935414623055594,587,16498,34631,0.0113504524711888
XM_normal,L3,5,cross,448,48412,0.023332102396348947,0.45933113187464586,0.8623557010795649,38780,9630,2,0.8010410641989589
XM_normal,L3,20,same,275,19419,0.33901666807166353,0.8798291996456225,0.9935414623055594,66,2624,16729,0.0033987331994438435
XM_normal,L3,20,cross,275,18256,0.13583038448139725,0.4866054850335798,0.823546684015734,11431,6824,1,0.6261503067484663
