tree_key,opponent,metric,n_cells,mean,std,cohens_d,pct_positive,p10,p25,p50,p75,p90,median_over_mean
TW,B_all,cagr,900,0.021742951801965237,0.015628735547054858,1.3912163102703832,0.95,0.006694870296255128,0.011327598701557529,0.019786402812147497,0.03237802561535045,0.04157950066350959,0.9100145643683533
US,B_all,cagr,900,0.040758837134359585,0.03878228022543465,1.050965464058213,0.8611111111111112,-0.004457877075558405,0.010849734580387793,0.03554253665781616,0.06448956925989931,0.0941529025636181,0.8720203802834675
XM,B_all,cagr,900,0.034868599730101486,0.040879301051620784,0.8529646748624881,0.9177777777777778,0.0016577758131028908,0.01184144732050399,0.024795732596144704,0.03960978416174441,0.0704368642230544,0.7111192530837124
TW,D_top_cagr,cagr,900,-0.020063671291896547,0.021782606997165627,-0.9210867778364293,0.2311111111111111,-0.04569910252753804,-0.03576713881675708,-0.021785545654218003,-0.0025422439534922986,0.0072768593375517054,1.0858205030012078
US,D_top_cagr,cagr,900,-0.11814227736704323,0.09899662718804426,-1.1933969946534821,0.024444444444444446,-0.25879475071879304,-0.17052500112473126,-0.09199354522594419,-0.03928686493357652,-0.015197947346580393,0.7786674446789237
XM,D_top_cagr,cagr,900,-0.10882954833894454,0.13768695296475977,-0.7904129330743405,0.17666666666666667,-0.3084516727078684,-0.157891467889014,-0.08462614841379179,-0.009353560224029722,0.012532726282616896,0.777602679653026
TW,E_top_calmar,cagr,900,-0.013635311501895748,0.014767975941479036,-0.9233026621879876,0.1322222222222222,-0.031696670061303306,-0.02273556420980591,-0.014314480151335685,-0.006016840154297293,0.003342049416686926,1.0498095440903943
US,E_top_calmar,cagr,900,-0.06572647595215757,0.05563091894756726,-1.1814738493553463,0.042222222222222223,-0.1286836902913116,-0.08676000709273479,-0.05278288512306367,-0.03049676874543537,-0.013544703934556007,0.8030688449124282
XM,E_top_calmar,cagr,900,-0.05947331645349406,0.08413667384157665,-0.7068655526539838,0.1711111111111111,-0.16405793803241914,-0.0965493021753907,-0.0540681011832337,-0.010076127289597774,0.01555424420252069,0.9091152874501788
TW,B_all,mdd,900,0.0040595775139477324,0.008198036757318786,0.49518898659774246,0.6411111111111111,-0.004282896605902686,-0.0019046957605639014,0.004206975089171311,0.009665952487588891,0.014120889163973999,1.0363085997784636
US,B_all,mdd,900,0.018206572784771752,0.018614481554740134,0.9780864823568234,0.8577777777777778,-0.003449048904155913,0.005591774634696817,0.016804495224366306,0.02887265086263592,0.046680173395558494,0.9229905827428343
XM,B_all,mdd,900,0.013435403737285842,0.017180164371244342,0.782029988011851,0.8466666666666667,-0.0030302140199995956,0.0028108951396289827,0.010294452105961895,0.020578076391324696,0.037924271314817015,0.7662182921524568
TW,D_top_cagr,mdd,900,0.006680168353708843,0.009415635761715536,0.7094760802951569,0.7088888888888889,-0.0028091106001478794,-0.0007295007183514696,0.004157588690739247,0.012940028442172291,0.019572492130685938,0.6223778310064515
US,D_top_cagr,mdd,900,0.019263811621122468,0.027146469638015272,0.7096249301657216,0.84,-0.013429857597854089,0.0070628006956036105,0.020745998910664698,0.03952748210242512,0.0469540721678543,1.0769415377752674
XM,D_top_cagr,mdd,900,0.05079728620635933,0.03464334956842945,1.4662925738754484,0.9955555555555555,0.012962257947989386,0.028433020436106793,0.04363825124828438,0.06649222210071151,0.0925965482007855,0.8590665861756468
TW,E_top_calmar,mdd,900,-0.0017073923474398612,0.008979673379899092,-0.19013969386256763,0.37222222222222223,-0.011234473016156099,-0.00805670272601311,-0.0033696172011956904,0.0053040480752444,0.010517164042607496,1.9735459200389658
US,E_top_calmar,mdd,900,-0.008316011010506138,0.023992633993206572,-0.3466068382846496,0.35,-0.036675733560718245,-0.026402974453041156,-0.008486188753016703,0.00671565084366571,0.024327490006515795,1.0204638669063293
XM,E_top_calmar,mdd,900,0.019227679057342146,0.023546249826294264,0.8165919923210218,0.8088888888888889,-0.005493350263576002,0.0022151230388759158,0.014468587178883607,0.033886415185487684,0.05313392360731509,0.7524874497714655
TW,B_all,calmar,900,0.16107660375581626,0.11384401098569306,1.4148886916507095,0.9511111111111111,0.0386036790458788,0.0792951778266017,0.15670352270327575,0.2352400456644343,0.3091391300623757,0.9728509234080335
US,B_all,calmar,900,0.3379664173361553,0.5149662029565149,0.6562885397057681,0.8966666666666666,-0.0021879569555353084,0.09958356135763213,0.23903401054500417,0.3940582263116582,0.776694528099609,0.7072714869988136
XM,B_all,calmar,900,0.3476049988784845,0.44898166874922246,0.77420755249729,0.9511111111111111,0.05123490256023033,0.13356727958847364,0.22367311342918805,0.4058230265834224,0.7436930056350243,0.6434692082992153
TW,D_top_cagr,calmar,900,-0.06702957568272017,0.14713584311760727,-0.45556252142547415,0.27,-0.2253460502394493,-0.15104042602184317,-0.07231051389054644,0.00891777681015693,0.08755232240078825,1.0787851952520664
US,D_top_cagr,calmar,900,-0.5451133393968219,1.0475655388827394,-0.5203620386159342,0.21888888888888888,-1.2762787002195597,-0.7154462695056147,-0.3391378743103115,-0.04645495556597909,0.09629616496876822,0.622141947004221
XM,D_top_cagr,calmar,900,-0.1659170876400393,0.6157342163135135,-0.2694621855407159,0.45,-1.1312654204076646,-0.4838353037219182,-0.0784231436431676,0.26954122925361457,0.49677230500447045,0.4726646589488619
TW,E_top_calmar,calmar,900,-0.10308969817550147,0.13559610624465523,-0.7602703427891753,0.16777777777777778,-0.2846221272429972,-0.18034670937862862,-0.09305408294567075,-0.022001269699656434,0.029185969026830492,0.9026516188577258
US,E_top_calmar,calmar,900,-0.45970402383604553,0.5914256606551236,-0.7772811604535899,0.08,-0.9916477388794767,-0.5725322692119461,-0.34220979645800953,-0.17937780241522158,-0.03285844927564774,0.7444133153379998
XM,E_top_calmar,calmar,900,-0.16682790383674476,0.5702624337096739,-0.2925458420108354,0.34,-0.9089610905550649,-0.4131608156000457,-0.16164532653968738,0.11158356255972901,0.40749461219462124,0.9689345896108066
