tree_id,level,version,pair_type,n_clusters,n_pairs,corr_mechanical_floor,corr_median,corr_mean,corr_pred_median,excess_median,pct_below_pred,cluster_r2_median,cluster_size_median,pct_high,ari_raw_vs_resid,market_corr,beta_median,r2_median
TW_normal,L1,raw,same,6,15,-0.2,0.8185861100977246,0.7790111789185533,0.8373929815225254,-0.011182628735964206,0.8,0.8564290297289467,979.5,0.0,0.40281493764427856,,0.9940017223990749,0.8790908716823878
TW_normal,L1,resid,same,6,15,-0.2,-0.16734469135107505,-0.17070100150104087,,,,,1048.5,1.0,0.40281493764427856,,0.9940017223990749,0.8790908716823878
TW_normal,L3,raw,same,218,23653,-0.004608294930875576,0.8493446560315582,0.826205083993835,0.8442510421013766,-0.0027639538318272594,0.5477106498118632,0.8554316313427812,20.0,0.016530672641948168,0.5023004919950217,,0.9940017223990749,0.8790908716823878
TW_normal,L3,resid,same,218,23653,-0.004608294930875576,-0.021416581197988987,0.006330566828149079,,,,,28.0,0.9699403881114447,0.5023004919950217,,0.9940017223990749,0.8790908716823878
US_normal,L1,raw,same,7,21,-0.16666666666666666,0.9105604104013372,0.9065572067067619,0.9158048424145186,-0.010311526159543227,0.5714285714285714,0.907141398536605,930.0,0.0,0.5407053154469019,,0.9933796600862785,0.8020170034455643
US_normal,L1,resid,same,7,21,-0.16666666666666666,-0.2488627856380031,-0.15509032894800787,,,,,1107.0,1.0,0.5407053154469019,,0.9933796600862785,0.8020170034455643
US_normal,L3,raw,same,235,27495,-0.004273504273504274,0.8188531435049217,0.8094217618959881,0.8224447221773349,-0.003545358824125655,0.5410801963993453,0.8351972579683878,26.0,0.008801600290961994,0.5519928700839024,,0.9933796600862785,0.8020170034455643
US_normal,L3,resid,same,235,27495,-0.004273504273504274,-0.016580106956989416,0.007140723014918664,,,,,32.0,0.9604291689398072,0.5519928700839024,,0.9933796600862785,0.8020170034455643
XM_normal,L1,raw,cross,3,2,-0.5,0.5417957683698452,0.5417957683698452,0.5404403358547845,0.0013554325150607616,0.5,0.9919726464477888,6464.0,0.0,0.07187312493535394,0.551188542217812,0.994983557417702,0.8344564893920102
XM_normal,L1,raw,same,3,1,-0.5,0.9376513719840324,0.9376513719840324,0.9611405665543089,-0.02348919457027654,1.0,0.9919726464477888,6464.0,0.0,0.07187312493535394,0.551188542217812,0.994983557417702,0.8344564893920102
XM_normal,L1,resid,cross,3,2,-0.5,-0.8038655843708473,-0.8038655843708473,,,,,3045.0,1.0,0.07187312493535394,0.551188542217812,0.994983557417702,0.8344564893920102
XM_normal,L1,resid,same,3,1,-0.5,0.2924220500589962,0.2924220500589962,,,,,3045.0,1.0,0.07187312493535394,0.551188542217812,0.994983557417702,0.8344564893920102
XM_normal,L3,raw,cross,453,49496,-0.0022123893805309734,0.45795953872226053,0.44701449983092617,0.4626554346276162,-0.0047331953651330305,0.5571561338289963,0.8469722617940668,23.0,0.805358008727978,0.5303593745917832,0.551188542217812,0.994983557417702,0.8344564893920102
XM_normal,L3,raw,same,453,52882,-0.0022123893805309734,0.8341540912726665,0.8192700458713476,0.8338074425378272,-0.0030460865692953365,0.5422639083241935,0.8469722617940668,23.0,0.01147838584017246,0.5303593745917832,0.551188542217812,0.994983557417702,0.8344564893920102
XM_normal,L3,resid,cross,453,50840,-0.0022123893805309734,0.0037006674016106886,0.0027479020215955908,,,,,30.0,0.999468922108576,0.5303593745917832,0.551188542217812,0.994983557417702,0.8344564893920102
XM_normal,L3,resid,same,453,51538,-0.0022123893805309734,-0.01782498364895356,0.006353286016009527,,,,,30.0,0.9608250223136326,0.5303593745917832,0.551188542217812,0.994983557417702,0.8344564893920102
