scope,n_pairs,same_min,cross_max,safe_high_ceiling,threshold_0.5_safe
僅3棵normal樹（實際使用範圍）,84,0.5386536213225521,0.5524443823599143,0.5386536213225521,True
僅3棵crisis樹（假設性延伸，非實際使用）,84,0.2556172437952256,0.97104005846001,0.2556172437952256,False
全部6棵樹合併,168,0.2556172437952256,0.97104005846001,0.2556172437952256,False
