tree_key,scheme,k_mode,ratio,allocation,group,n_windows,n_members_mean,jaccard_adjacent_mean,jaccard_adjacent_max,overlap_coef_adjacent_mean,core_size,core_share
TW,E,fixed,0.05,equal,A_hrp,4,334.0,0.47156965875900386,0.49107142857142855,0.6407185628742514,144,0.4311377245508982
TW,E,fixed,0.05,equal,D_top_cagr,4,334.0,0.6726671483696003,0.7172236503856041,0.8033932135728543,200,0.5988023952095808
TW,E,fixed,0.05,equal,E_top_calmar,4,334.0,0.7724154423902111,0.8102981029810298,0.87125748502994,243,0.7275449101796407
TW,E,fixed,0.05,proportional,A_hrp,4,334.0,0.367586607467192,0.40041928721174,0.5369261477045908,80,0.23952095808383234
TW,E,fixed,0.05,proportional,D_top_cagr,4,334.0,0.6726671483696003,0.7172236503856041,0.8033932135728543,200,0.5988023952095808
TW,E,fixed,0.05,proportional,E_top_calmar,4,334.0,0.7724154423902111,0.8102981029810298,0.87125748502994,243,0.7275449101796407
TW,E,fixed,0.1,equal,A_hrp,4,668.0,0.53087983585338,0.5516840882694541,0.6931137724550899,316,0.47305389221556887
TW,E,fixed,0.1,equal,D_top_cagr,4,668.0,0.709270593655496,0.7578947368421053,0.8293413173652695,426,0.6377245508982036
TW,E,fixed,0.1,equal,E_top_calmar,4,668.0,0.7808262015202327,0.8102981029810298,0.8767465069860281,499,0.7470059880239521
TW,E,fixed,0.1,proportional,A_hrp,4,668.0,0.48809374522570054,0.5321100917431193,0.6541916167664671,251,0.37574850299401197
TW,E,fixed,0.1,proportional,D_top_cagr,4,668.0,0.709270593655496,0.7578947368421053,0.8293413173652695,426,0.6377245508982036
TW,E,fixed,0.1,proportional,E_top_calmar,4,668.0,0.7808262015202327,0.8102981029810298,0.8767465069860281,499,0.7470059880239521
TW,E,fixed,legacy,equal,A_hrp,4,30.0,0.4639953542392567,0.5,0.6333333333333333,12,0.4
TW,E,fixed,legacy,equal,D_top_cagr,4,30.0,0.700204406086759,0.7647058823529411,0.8222222222222223,20,0.6666666666666666
TW,E,fixed,legacy,equal,E_top_calmar,4,30.0,0.751984126984127,0.875,0.8555555555555555,20,0.6666666666666666
TW,E,fixed,legacy,proportional,A_hrp,4,30.0,0.42063492063492064,0.5,0.5888888888888889,10,0.3333333333333333
TW,E,fixed,legacy,proportional,D_top_cagr,4,30.0,0.700204406086759,0.7647058823529411,0.8222222222222223,20,0.6666666666666666
TW,E,fixed,legacy,proportional,E_top_calmar,4,30.0,0.751984126984127,0.875,0.8555555555555555,20,0.6666666666666666
TW,E,silhouette_is,0.01,equal,A_hrp,4,67.0,0.42219294393207435,0.45652173913043476,0.5920398009950248,25,0.373134328358209
TW,E,silhouette_is,0.01,equal,D_top_cagr,4,67.0,0.6158657887363407,0.675,0.7611940298507461,31,0.4626865671641791
TW,E,silhouette_is,0.01,equal,E_top_calmar,4,67.0,0.7557287157287157,0.7866666666666666,0.8606965174129354,48,0.7164179104477612
TW,E,silhouette_is,0.01,proportional,A_hrp,4,67.0,0.38154119035930517,0.3958333333333333,0.5522388059701492,18,0.26865671641791045
TW,E,silhouette_is,0.01,proportional,D_top_cagr,4,67.0,0.6158657887363407,0.675,0.7611940298507461,31,0.4626865671641791
TW,E,silhouette_is,0.01,proportional,E_top_calmar,4,67.0,0.7557287157287157,0.7866666666666666,0.8606965174129354,48,0.7164179104477612
TW,E,silhouette_is,0.03,equal,A_hrp,4,200.0,0.42890304609115065,0.45985401459854014,0.6,75,0.375
TW,E,silhouette_is,0.03,equal,D_top_cagr,4,200.0,0.6507971242182123,0.7021276595744681,0.7866666666666666,118,0.59
TW,E,silhouette_is,0.03,equal,E_top_calmar,4,200.0,0.7837876292261052,0.8348623853211009,0.8783333333333334,145,0.725
