market,window,n_stocks_median,mcap_null_share,equal_weight_cagr,cap_weight_cagr,cap_minus_equal_pp,top1_mcap_share
TW,2019-01~2025-12,1769,0.0923691112670725,0.1502346447881015,0.1990338453982445,4.879920061014298,0.4079168673862656
US,2019-01~2025-12,2673,0.9878010424914094,0.1949251805289642,,,
