PRIMARY_MARGIN,可當primary的桶,晉升組合,最終候選,CAGR中位,CAGR_p90,CAGR最高
0.02,10,219,7162,0.15533840603302734,0.20956859323347082,0.3353525246337783
0.025,6,135,4404,0.17131282975628245,0.2180570502814487,0.3353525246337783
0.03,6,135,4404,0.17131282975628245,0.2180570502814487,0.3353525246337783
0.04,4,79,2495,0.1845740355111607,0.22487296925007205,0.3347269755403799
0.05,4,79,2495,0.1845740355111607,0.22487296925007205,0.3347269755403799
