tree_id,k,silhouette,n_clusters_actual,max_share,n_singleton
TW_normal,3,0.14983767708228865,3,0.6764485701452313,0
TW_normal,4,0.03283266888279124,4,0.37939811349004343,0
TW_normal,5,0.04249650411671191,5,0.37939811349004343,0
TW_normal,6,0.046104796412807444,6,0.37939811349004343,0
TW_normal,7,0.012305954709544537,7,0.2858212307231621,0
TW_normal,8,0.018171308362642778,8,0.2858212307231621,0
TW_normal,9,0.02787241131299058,9,0.26051804162299746,0
TW_normal,10,0.034837966343866995,10,0.26051804162299746,0
TW_normal,11,0.039141626879019266,11,0.26051804162299746,0
TW_normal,12,0.021875001819057188,12,0.20571941907471178,0
TW_normal,13,0.019860412655361783,13,0.20571941907471178,0
TW_normal,14,0.02270050950752167,14,0.20571941907471178,0
TW_normal,15,0.023471979167483042,15,0.16963617307980236,0
TW_normal,16,0.02711883385847238,16,0.16963617307980236,0
TW_normal,17,0.027847651810900865,17,0.16963617307980236,0
TW_normal,18,0.0299799561050859,18,0.16963617307980236,0
TW_normal,19,0.03210495424801796,19,0.16963617307980236,0
TW_normal,20,0.03410322069803093,20,0.16963617307980236,0
US_normal,3,0.04069976847216956,3,0.4027511961722488,0
US_normal,4,0.04489154802493131,4,0.3807416267942584,0
US_normal,5,0.0547879314722298,5,0.3807416267942584,0
US_normal,6,0.05804920020577808,6,0.3807416267942584,0
US_normal,7,0.06204170090396168,7,0.35382775119617227,0
US_normal,8,0.04783027091958458,8,0.21650717703349281,0
US_normal,9,0.04750041423079692,9,0.21650717703349281,0
US_normal,10,0.05166543541703739,10,0.21650717703349281,0
US_normal,11,0.03868504077650689,11,0.19066985645933016,0
US_normal,12,0.038475032325470074,12,0.16854066985645932,0
US_normal,13,0.04154001976456944,13,0.16854066985645932,0
US_normal,14,0.04268004008603115,14,0.16854066985645932,0
US_normal,15,0.046098126644118116,15,0.16854066985645932,0
US_normal,16,0.04510365038883959,16,0.16854066985645932,0
US_normal,17,0.04644795177085423,17,0.16854066985645932,0
US_normal,18,0.03519239777682193,18,0.12236842105263158,0
US_normal,19,0.031493213237504564,19,0.12236842105263158,0
US_normal,20,0.03355958980780149,20,0.12236842105263158,0
XM_normal,3,0.2792609061025069,3,0.4440824468085106,0
XM_normal,4,0.23051680878767947,4,0.4440824468085106,0
XM_normal,5,0.15577211228507423,5,0.4238031914893617,0
XM_normal,6,0.09586204133782919,6,0.303125,0
XM_normal,7,0.09919198410615905,7,0.303125,0
XM_normal,8,0.10114840143900658,8,0.3003989361702128,0
XM_normal,9,0.049209502073794334,9,0.19953457446808512,0
XM_normal,10,0.05326228092933121,10,0.19953457446808512,0
XM_normal,11,0.05486466020098161,11,0.19953457446808512,0
XM_normal,12,0.058516946586440514,12,0.19953457446808512,0
XM_normal,13,0.058600527970511865,13,0.19953457446808512,0
XM_normal,14,0.050780164136553375,14,0.1684840425531915,0
XM_normal,15,0.03577407060197677,15,0.1269281914893617,0
XM_normal,16,0.03744464631771428,16,0.1269281914893617,0
XM_normal,17,0.029726961544822905,17,0.1269281914893617,0
XM_normal,18,0.032331662146488006,18,0.1269281914893617,0
XM_normal,19,0.03470555426355355,19,0.1269281914893617,0
XM_normal,20,0.039013643798485265,20,0.11569148936170212,0
