tree_key,scheme,window_no,quality_metric,mode,min_is_months,oos_len_months,is_start,is_end,oos_start,oos_end,n_is_months,n_oos_months,n_universe,n_pairs,spearman,spearman_p,pearson,oos_pct_top01,oos_pct_top03,oos_pct_top05,oos_pct_top10
TW,A,6,calmar,anchored,72,24,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.22296727034294783,5.084244026859928e-76,0.19551630214222454,0.572770970719095,0.6142274292558766,0.5994156319790424,0.5836543711498997
TW,A,6,cagr,anchored,72,24,2007-01,2022-12,2023-01,2025-12,192,36,6679,6679,0.2417352134714569,2.0095245353549463e-89,0.21734632677012639,0.5012614722464933,0.5015473873334331,0.5221267302197521,0.5455561403021177
TW,B,1,calmar,anchored,72,36,2007-01,2012-12,2013-01,2015-12,72,36,6679,6679,0.1666165872587591,8.827237222567006e-43,0.09855174643648491,0.4455242875307546,0.5785252283275939,0.6003749351125567,0.598516845631988
TW,B,1,cagr,anchored,72,36,2007-01,2012-12,2013-01,2015-12,72,36,6679,6679,0.15175665310828854,1.0571281685045522e-35,0.11407485310346649,0.5424174232893028,0.5418917502620153,0.5543131434391286,0.5696415971769592
TW,B,2,calmar,anchored,72,36,2007-01,2015-12,2016-01,2018-12,108,36,6679,6679,0.439297775010802,0.0,0.4130169422721251,0.7647136379786946,0.7317375355592154,0.6912384244835676,0.6893877314991218
TW,B,2,cagr,anchored,72,36,2007-01,2015-12,2016-01,2018-12,108,36,6679,6679,0.44784013098050185,0.0,0.40738397255718867,0.7261856610047532,0.7028986375205869,0.6948905004783068,0.6814817736887357
TW,B,3,calmar,anchored,72,36,2007-01,2018-12,2019-01,2021-12,144,36,6679,6679,0.29656717605476984,1.0858535822234866e-135,0.21351140530910961,0.67049316972556,0.635609372660578,0.6065081993521566,0.5885105070589469
TW,B,3,cagr,anchored,72,36,2007-01,2018-12,2019-01,2021-12,144,36,6679,6679,0.46836917147859,0.0,0.4639929986699491,0.7675829566049077,0.7217105854169786,0.7036017798211034,0.6945477961579462
TW,B,4,calmar,anchored,72,36,2007-01,2021-12,2022-01,2025-12,180,48,6679,6679,0.3272509597419411,1.7397753394043722e-166,0.30274765013160326,0.6528437316337907,0.6688141937415781,0.6444912241694183,0.6296204566462225
TW,B,4,cagr,anchored,72,36,2007-01,2021-12,2022-01,2025-12,180,48,6679,6679,0.3435766113062705,2.119360975716294e-184,0.30485782892949814,0.5596914365140908,0.5724067974247642,0.5794688508893279,0.6173763417916376
TW,C,1,calmar,anchored,72,48,2007-01,2012-12,2013-01,2016-12,72,48,6679,6679,0.25783025300413276,6.928659537481222e-102,0.1868349337465747,0.5532958057444475,0.6402844737236114,0.6461233843138696,0.6371917790411092
TW,C,1,cagr,anchored,72,48,2007-01,2012-12,2013-01,2016-12,72,48,6679,6679,0.27373518166303973,4.206366481196599e-115,0.23256175149644503,0.6050798559977474,0.5911566102709986,0.6025100569933647,0.613616232126255
TW,C,2,calmar,anchored,72,48,2007-01,2016-12,2017-01,2020-12,120,48,6679,6679,0.4172249065232838,1.1812440686941127e-279,0.370864625611631,0.7656119760532567,0.7024262614163796,0.6805363670024825,0.660810360115224
