範圍,含最小規模桶,佔比,相對全池倍數
Top 10,8,0.8,27.026415094339622
Top 50,23,0.46,15.540188679245283
Top 100,30,0.3,10.134905660377358
Top 500,66,0.132,4.4593584905660375
"全池 7,162",212,0.029600670203853673,1.0
