tree_key,is_start,is_end,oos_start,oos_end,n_members,n_universe,n_draws,enb_computed,is_cagr,is_cagr_std,is_mdd,is_mdd_std,is_sharpe,is_sharpe_std,is_enb,is_enb_std,oos_cagr,oos_cagr_std,oos_mdd,oos_mdd_std,oos_sharpe,oos_sharpe_std,oos_enb,oos_enb_std
TW,2007-01,2012-12,2013-01,2014-12,30,6679,200,True,0.1259743460230385,0.0139822084186176,-0.5488042481936833,0.0179856136731579,0.5558019691495728,0.0428896517802206,2.23156470997607,0.2555469524968838,0.2379114576893512,0.0118521611197807,-0.0873457244633415,0.004231785692888,2.077529780524782,0.0889273578137511,3.186096275349917,0.3100435708691527
TW,2007-01,2012-12,2013-01,2014-12,55,6679,200,True,0.1256139668115571,0.0107004450903746,-0.5489308846463671,0.0123934025126084,0.556011339684217,0.0332035729646831,2.408411530078036,0.2061504179842806,0.2385771426631097,0.0086100109272126,-0.0878889139228399,0.0030751657670163,2.0821810364050544,0.0637667938725304,3.419577086649763,0.2640599455172723
TW,2007-01,2012-12,2013-01,2014-12,67,6679,200,True,0.1256291216256132,0.0097575167502667,-0.5499900481365091,0.0101288293145657,0.5556318208262342,0.0299555836408711,2.4625943675136264,0.1920041260948909,0.2392739761083527,0.0085327824643603,-0.0882733406718254,0.0028669591530147,2.08633498729741,0.0581045604543755,3.494949833436634,0.2431708373319742
TW,2007-01,2012-12,2013-01,2014-12,200,6679,200,True,0.1264801066967326,0.0055433788694619,-0.5482455013213703,0.0056033784982979,0.5587650778393762,0.0168930784870147,2.5741143844182,0.1168420993436486,0.239248190156461,0.0048067892266679,-0.0876384416884743,0.0016438028281918,2.093586833894326,0.0295513160149973,3.6054567865116662,0.1600480294373602
TW,2007-01,2012-12,2013-01,2014-12,334,6679,200,True,0.1257208536545518,0.003775628304767,-0.5491828251769002,0.0042968518659979,0.5566749210999739,0.0117168423845062,2.6049130648312,0.0925356193990432,0.2397410507710748,0.0037911399677189,-0.0878193070948821,0.0012312831014185,2.0944670750515484,0.0267044786334924,3.635754137538653,0.1126176612427478
TW,2007-01,2012-12,2013-01,2014-12,668,6679,200,False,0.1260555860795812,0.0026557394656553,-0.5492034941987999,0.0030104865651528,0.5576293445471479,0.0081179166395006,,,0.2397234699369831,0.0025204170637005,-0.0876858207763658,0.0008376719597777,2.098671513229523,0.018314842563507,,
TW,2007-01,2012-12,2013-01,2015-12,30,6679,200,True,0.1248713334733144,0.0141515199158408,-0.5490390668286877,0.01592025381948,0.5527575699220624,0.042743203046846,2.253271440470736,0.2478820737761888,0.1466496201056144,0.0106861234133055,-0.1764496172999913,0.0085463361856064,1.166649056534164,0.0780336584534233,2.886872291792146,0.2947810297864811
TW,2007-01,2012-12,2013-01,2015-12,55,6679,200,True,0.1247235301122662,0.0100382336122639,-0.5513151756385989,0.0113778550101929,0.5528442625401503,0.030450732371238,2.4002767133378566,0.2125039626305767,0.1461243590248146,0.0077198439514674,-0.1768640965027617,0.0060042917416466,1.167665231566686,0.0574886836635007,3.0453098102367435,0.2452491825297899
TW,2007-01,2012-12,2013-01,2015-12,67,6679,200,True,0.125329348840301,0.0093827636244975,-0.5494039928643651,0.0101496981302009,0.5547038643936533,0.0283163162353179,2.43646374593738,0.1790045355302474,0.1461023717798348,0.0067496389875443,-0.177001695348889,0.0052307203471313,1.167442486562306,0.050696343867538,3.1185179406926125,0.2221928442288841
TW,2007-01,2012-12,2013-01,2015-12,200,6679,200,True,0.125353303557034,0.0050975884542329,-0.5495169301193633,0.0060464857573059,0.5553001774168834,0.0156068371128024,2.572941012019511,0.1209361729130039,0.1462986677145045,0.0041831014522406,-0.1769715254578885,0.0032744667112651,1.169466917633376,0.0304528233692818,3.268502538078835,0.1483559392428795
