tree_key,partition,n_universe,k,n_target,n_members,n_draws,n_backfilled,market_purity,is_cagr,is_mdd,is_sharpe,is_enb,is_calmar,oos_cagr,oos_mdd,oos_sharpe,oos_enb,oos_calmar,is_cagr_std,is_mdd_std,is_sharpe_std,is_calmar_std,is_enb_std,oos_cagr_std,oos_mdd_std,oos_sharpe_std,oos_calmar_std,oos_enb_std,max_hrp_cluster_share_std,n_hrp_clusters_covered,max_hrp_cluster_share,note
TW,A_hrp,6679,6,30,30,1,1,1.0,0.2617788848288869,-0.3197039648996549,1.121540276906795,5.109647174056927,0.8188165101770042,0.19553171237766076,-0.18551416112222163,1.1255229516163001,2.773722143239507,1.0539988494400667,,,,,,,,,,,,6,0.16666666666666666,
TW,A1_fcombo,6679,6,30,30,1,0,1.0,0.25737805660514823,-0.3152347467973291,1.1320480516092901,4.875804604906828,0.8164647432429836,0.2047277941554959,-0.18800763617149596,1.1431531670945332,2.76745374154133,1.0889333982623357,,,,,,,,,,,,6,0.26666666666666666,"因子構成 ward 分群，群大小 [1287, 1235, 1281, 1050, 632, 1194]"
TW,A2_random,6679,6,30,30,200,0,1.0,0.2611360814233421,-0.3245073877956334,1.1462718812154697,4.716493820307784,0.8057839223180417,0.21246454407417553,-0.18637724351256557,1.201807772553081,2.611421646595426,1.1408145612789484,0.00579384217674338,0.012264084214943599,0.02094087353909738,0.033433957809274495,0.21286526586465346,0.0057810786984619725,0.004873792637575628,0.028335548276535453,0.04477172705992821,0.09509879081339725,0.045406803210287526,6,0.304,200 次獨立抽樣(seed=42)，群大小 profile 沿用 HRP
US,A_hrp,8360,7,35,35,1,0,1.0,0.35246541637209416,-0.2625951231080914,1.8029469419708997,7.345684994350296,1.3422390035286742,0.3248113769449241,-0.29309520102650766,1.2438103079118634,3.872039580775713,1.108211174414787,,,,,,,,,,,,7,0.14285714285714285,
US,A1_fcombo,8360,7,35,35,1,0,1.0,0.3972387852121233,-0.32062714296629424,1.4188247556796607,6.711689411298327,1.238943096136695,0.3903509084549963,-0.33290784377717486,1.231460090044428,3.678075210610704,1.172549447997596,,,,,,,,,,,,6,0.3142857142857143,"因子構成 ward 分群，群大小 [1529, 1420, 1098, 1055, 960, 905, 1393]"
US,A2_random,8360,7,35,35,200,0,1.0,0.408338654919917,-0.2349251690295804,1.7279971975648976,7.7170088991776655,1.7421124049330874,0.3659135354221592,-0.2670872940249928,1.3122364507857973,3.9163124275626298,1.3719990179759107,0.010652193854429134,0.012661948033606667,0.11177728597260789,0.08377703709270806,0.3378586448362785,0.015508215681706078,0.008185349945332534,0.03357055560730576,0.08439569111374114,0.1751571726799779,0.041885168579567346,5,0.35628571428571426,200 次獨立抽樣(seed=42)，群大小 profile 沿用 HRP
XM,A_hrp,15040,3,15,15,1,0,1.0,0.3051420209781459,-0.16278642611696814,1.7362022610913055,7.510808104333199,1.874493029037261,0.28245297641109257,-0.22207207997062595,1.388647992849769,5.050696408163119,1.2718977390064223,,,,,,,,,,,,3,0.3333333333333333,
XM,A1_fcombo,15040,3,15,15,1,0,0.5772606382978723,0.3601490500542206,-0.20428126676071112,1.2949943997378726,8.028235606471371,1.7630057604649978,0.3409666264521056,-0.24651702481471627,1.3723706301197987,4.704906230830438,1.383136222369949,,,,,,,,,,,,2,0.7333333333333333,"因子構成 ward 分群，群大小 [2816, 2241, 9983]"
XM,A2_random,15040,3,15,15,200,0,0.5559175531914893,0.37681573784694467,-0.16974438714954787,1.3167895003532493,7.041518077675119,2.2375114881818647,0.35497628333149606,-0.2535763788584569,1.2933658831965813,3.9768085852473734,1.4046534746177475,0.01712562386938576,0.017196460426356003,0.15549251730626493,0.19568701318941983,0.41563978661202516,0.023010223069340367,0.012600900974972743,0.047896178745118666,0.13004505941081315,0.27442222441496794,0.04663689526544407,2,0.9116666666666668,200 次獨立抽樣(seed=42)，群大小 profile 沿用 HRP
