tree_key,metric,ratio,n_cells,z_mean,z_median,pct_A_wins,pct_z_over_2,pct_z_under_neg2,diff_mean,diff_median,random_std_mean
TW,oos_cagr,ALL,900,0.3237032237254995,0.11009230073403829,0.5044444444444445,0.25555555555555554,0.21,-0.0005720223434898331,0.0003800051645826974,0.004060922457952578
US,oos_cagr,ALL,900,-2.4828284524952675,-2.8231746536068054,0.2644444444444444,0.14333333333333334,0.5611111111111111,-0.02873897328387878,-0.016361449209618906,0.008354431948060388
XM,oos_cagr,ALL,900,-13.327657017965361,-4.943599621179738,0.2222222222222222,0.15666666666666668,0.6366666666666667,-0.03664344314589234,-0.030062674920496454,0.008388470692281292
TW,oos_cagr,0.01,180,-0.7202537823978081,-0.6739765293056661,0.29444444444444445,0.08333333333333333,0.22777777777777777,-0.003662104375422775,-0.0037646497818543496,0.005237456987086327
US,oos_cagr,0.01,180,-4.418118215695298,-4.089136299556495,0.022222222222222223,0.011111111111111112,0.7333333333333333,-0.0464055047360413,-0.038370095858961395,0.010257328757984943
XM,oos_cagr,0.01,180,-0.6521772660137385,-0.6943634058645194,0.39444444444444443,0.2,0.28888888888888886,-0.011984105139402478,-0.0053708617044478935,0.008593092001682928
TW,oos_cagr,0.03,180,0.31816739767120744,0.7742633949749607,0.6277777777777778,0.22777777777777777,0.23333333333333334,0.0011163462625057685,0.002843873960098664,0.003190750670865458
US,oos_cagr,0.03,180,-3.7682158174764626,-3.005580899297395,0.25555555555555554,0.03333333333333333,0.5666666666666667,-0.019568586801137298,-0.014438022876646556,0.0054462763549542334
XM,oos_cagr,0.03,180,-16.33188057558372,-20.50674197120713,0.15,0.13333333333333333,0.8,-0.05378307169177895,-0.051772463768819596,0.00317868693010863
TW,oos_cagr,0.05,180,1.009195630741635,1.6039271966968576,0.7555555555555555,0.36666666666666664,0.16111111111111112,0.00287679971061599,0.004315374312777204,0.00257807762630247
US,oos_cagr,0.05,180,-1.2343708441121397,-0.7648423007505483,0.4666666666666667,0.2388888888888889,0.4166666666666667,-0.0049946070272334185,-0.002342862800901256,0.004324699960477489
