tree_key,scheme,window_no,is_start,is_end,oos_start,oos_end,n_clusters,pair_type,n_pairs,is_pct_high,oos_pct_high,corr_is_median,corr_oos_median,n_is_high,n_is_high_stays_high,stability_rate
TW,J,3,2007-01,2022-12,2023-01,2025-12,107,same,5671,0.011814494798095574,0.00017633574325515782,0.911130897373723,0.8718471550565698,67,0,0.0
TW,K,1,2007-01,2018-12,2019-01,2021-12,108,same,5778,0.017826237452405677,0.0,0.9062311469383337,0.9230803536668493,103,0,0.0
TW,K,2,2007-01,2021-12,2022-01,2025-12,103,same,5253,0.014277555682467162,0.0,0.9099748360008687,0.9090497451943026,75,0,0.0
TW,L,1,2007-01,2018-12,2019-01,2022-12,108,same,5778,0.017826237452405677,0.0,0.9062311469383337,0.9328175902622438,103,0,0.0
TW,L,2,2007-01,2022-12,2023-01,2025-12,107,same,5671,0.011814494798095574,0.00017633574325515782,0.911130897373723,0.8718471550565698,67,0,0.0
TW,R,1,2007-01,2014-12,2015-01,2017-12,102,same,5151,0.018443020772665502,0.0,0.9158252889815351,0.8838370138343463,95,0,0.0
TW,R,2,2010-01,2017-12,2018-01,2020-12,111,same,6105,0.018018018018018018,0.0,0.9009183327096121,0.9294840139551255,110,0,0.0
TW,R,3,2013-01,2020-12,2021-01,2023-12,114,same,6441,0.0,0.0,0.886182846076556,0.9209662814145166,0,0,
TW,R,4,2016-01,2023-12,2024-01,2025-12,106,same,5565,0.0,0.0,0.9079536459366825,0.8790917014938245,0,0,
US,A,1,2002-01,2012-12,2013-01,2014-12,159,same,12561,0.01210094737680121,0.0023087333811002307,0.8547136830638257,0.8310556371066135,152,0,0.0
US,A,2,2002-01,2014-12,2015-01,2016-12,155,same,11935,0.012149141181399247,0.0005027230833682447,0.8555016359931632,0.8737825748095422,145,0,0.0
US,A,3,2002-01,2016-12,2017-01,2018-12,159,same,12561,0.01170288989730117,0.0,0.8498360486295107,0.8984298107117472,147,0,0.0
US,A,4,2002-01,2018-12,2019-01,2020-12,161,same,12880,0.01156832298136646,0.0,0.8515932330492446,0.9364038206371644,149,0,0.0
US,A,5,2002-01,2020-12,2021-01,2022-12,155,same,11935,0.0013405948889819858,0.0017595307917888563,0.8666875310146104,0.8583813701896164,16,0,0.0
US,A,6,2002-01,2022-12,2023-01,2025-12,158,same,12403,0.0013706361364186083,0.0,0.8598391420050666,0.8837670410987427,17,0,0.0
US,B,1,2002-01,2012-12,2013-01,2015-12,159,same,12561,0.01210094737680121,0.0,0.8547136830638257,0.8608801353788184,152,0,0.0
US,B,2,2002-01,2015-12,2016-01,2018-12,157,same,12246,0.012085578964559857,0.0,0.8555734916665196,0.8721172944406015,148,0,0.0
US,B,3,2002-01,2018-12,2019-01,2021-12,161,same,12880,0.01156832298136646,0.0,0.8515932330492446,0.8966830440572395,149,0,0.0
US,B,4,2002-01,2021-12,2022-01,2025-12,155,same,11935,0.002429828236279849,0.0,0.8577810542660291,0.8886112010820751,29,0,0.0
US,C,1,2002-01,2012-12,2013-01,2016-12,159,same,12561,0.01210094737680121,0.0,0.8547136830638257,0.8474914047178956,152,0,0.0
US,C,2,2002-01,2016-12,2017-01,2020-12,159,same,12561,0.01170288989730117,0.0,0.8498360486295107,0.9227833696200657,147,0,0.0
US,C,3,2002-01,2020-12,2021-01,2025-12,155,same,11935,0.0013405948889819858,0.0,0.8666875310146104,0.8649811194858174,16,0,0.0
US,D,1,2002-01,2014-12,2015-01,2016-12,155,same,11935,0.012149141181399247,0.0005027230833682447,0.8555016359931632,0.8737825748095422,145,0,0.0
US,D,2,2002-01,2016-12,2017-01,2018-12,159,same,12561,0.01170288989730117,0.0,0.8498360486295107,0.8984298107117472,147,0,0.0
