high門檻,low門檻,same誤判為高互補,cross判為高互補,cross誤判為低互補,核心結論成立
0.36,0.81,1,0,3,False
0.36,0.82,1,0,3,False
0.36,0.83,1,0,3,False
0.36,0.84,1,0,3,False
0.36,0.85,1,0,3,False
0.36,0.86,1,0,3,False
0.36,0.87,1,0,3,False
0.36,0.88,1,0,3,False
0.36,0.89,1,0,3,False
0.36,0.9,1,0,3,False
0.37,0.65,1,0,3,False
0.37,0.66,1,0,3,False
0.37,0.67,1,0,3,False
0.37,0.68,1,0,3,False
0.37,0.69,1,0,3,False
0.37,0.7,1,0,3,False
0.37,0.71,1,0,3,False
0.37,0.72,1,0,3,False
0.37,0.73,1,0,3,False
0.37,0.74,1,0,3,False
0.37,0.75,1,0,3,False
0.37,0.76,1,0,3,False
0.37,0.77,1,0,3,False
0.37,0.78,1,0,3,False
0.37,0.79,1,0,3,False
0.37,0.8,1,0,3,False
0.37,0.81,1,0,3,False
0.37,0.82,1,0,3,False
0.37,0.83,1,0,3,False
0.37,0.84,1,0,3,False
0.37,0.85,1,0,3,False
0.37,0.86,1,0,3,False
0.37,0.87,1,0,3,False
0.37,0.88,1,0,3,False
0.37,0.89,1,0,3,False
0.37,0.9,1,0,3,False
0.38,0.65,2,1,3,False
0.38,0.66,2,1,3,False
0.38,0.67,2,1,3,False
0.38,0.68,2,1,3,False
0.38,0.69,2,1,3,False
0.38,0.7,2,1,3,False
0.38,0.71,2,1,3,False
0.38,0.72,2,1,3,False
0.38,0.73,2,1,3,False
0.38,0.74,2,1,3,False
0.38,0.75,2,1,3,False
0.38,0.76,2,1,3,False
0.38,0.77,2,1,3,False
0.38,0.78,2,1,3,False
0.38,0.79,2,1,3,False
0.38,0.8,2,1,3,False
0.38,0.81,2,1,3,False
0.38,0.82,2,1,3,False
0.38,0.83,2,1,3,False
0.38,0.84,2,1,3,False
0.38,0.85,2,1,3,False
0.38,0.86,2,1,3,False
0.38,0.87,2,1,3,False
0.38,0.88,2,1,3,False
0.38,0.89,2,1,3,False
0.38,0.9,2,1,3,False
0.39,0.65,2,2,3,False
0.39,0.66,2,2,3,False
0.39,0.67,2,2,3,False
0.39,0.68,2,2,3,False
0.39,0.69,2,2,3,False
