tree_key,k,n_common,ari,ari_random_floor,n_main,n_alt,is_main_k
TW,3,3272,0.09613411148522785,0.0005080496832705197,6679,3272,False
TW,4,3272,0.7629468863393607,-0.00018746006672125786,6679,3272,False
TW,5,3272,0.7315209269348423,-0.0003363834613676076,6679,3272,False
TW,6,3272,0.7322364484640312,0.00029400980038680064,6679,3272,True
TW,7,3272,0.5468508196762463,0.00026370348549712385,6679,3272,False
TW,8,3272,0.5747102815401152,-0.0005364694994809662,6679,3272,False
TW,9,3272,0.5676747940920427,-0.0002891369525243813,6679,3272,False
TW,10,3272,0.6566671737237929,-0.0002632925246713786,6679,3272,False
TW,11,3272,0.5954127980250487,0.0001883018211199263,6679,3272,False
TW,12,3272,0.5713963475750893,-0.00012868311379894668,6679,3272,False
