tree_id,null_model,n_strategies,n_months,n_draws,r2_used,market_rho_used,enb_null_mean,enb_null_std,enb_null_p05,enb_null_p95,enb_null_min,enb_null_max,enb_observed,ratio_observed_over_null,z_observed,max_possible_enb
TW_normal,iid,6679,228,200,,,223.18953399777322,0.0344838780023175,223.13353557049334,223.243346966036,223.0908372434392,223.28032651563075,3.2650867031282798,0.014629210629387558,-6377.601941401858,227.0
TW_normal,one_factor,6679,228,200,0.880259322279158,,3.97744681653179,0.32442626775658967,3.462783305641032,4.524146628584546,3.3080902500102596,5.232141900470925,3.2650867031282798,0.8209001537260865,-2.1957535014950746,227.0
US_normal,iid,8360,288,200,,,282.1327290900922,0.03196967922400313,282.08355377767566,282.1854438450035,282.03230153507036,282.2176867927326,4.363470749223331,0.015466021128764409,-8688.521908356126,287.0
US_normal,one_factor,8360,288,200,0.8036242968384513,,5.731481833129072,0.5092962069266466,5.00575343796067,6.534053810699404,4.550480379140577,7.572635558255121,4.363470749223331,0.7613163360305231,-2.686081430217238,287.0
XM_normal,iid,15040,228,200,,,225.30070419395898,0.015642914052835733,225.2755464148795,225.32573340612515,225.2566618816163,225.33697354562133,5.773190371360101,0.025624377837674326,-14033.671289193277,227.0
XM_normal,one_factor,15040,228,200,0.8364445241395598,,4.48917533898397,0.4091735670656599,3.911102651899438,5.222392231318909,3.4534672469697343,5.805817758388474,5.773190371360101,1.2860247006227965,3.138069356689617,227.0
XM_normal,two_factor,15040,228,200,0.8364445241395598,0.551188542217812,6.857624594899189,0.5875157001760758,6.009953677771458,7.836945783029166,5.47926524984965,9.345161173324172,5.773190371360101,0.8418644519640653,-1.845796160364885,227.0
