subject,opponent,metric,tree_key,win_rate,n_cells,cohens_d,diff_mean,diff_median,n_schemes,n_sig_raw,n_sig_bh_family,n_sig_bonferroni_family,min_p
A_hrp,B_all,cagr,TW,0.95,900,1.3912163102703832,0.021742951801965237,0.019786402812147497,13,13,13,9,0.000244140625
A_hrp,B_all,cagr,US,0.8611111111111112,900,1.050965464058213,0.040758837134359585,0.03554253665781616,13,13,13,9,0.000244140625
A_hrp,B_all,cagr,XM,0.9177777777777778,900,0.8529646748624881,0.034868599730101486,0.024795732596144704,13,13,13,9,0.000244140625
A_hrp,B_all,mdd,TW,0.6411111111111111,900,0.49518898659774246,0.0040595775139477324,0.004206975089171311,13,8,8,3,0.0006561279296875
A_hrp,B_all,mdd,US,0.8577777777777778,900,0.9780864823568234,0.018206572784771752,0.016804495224366306,13,8,8,3,0.0006561279296875
A_hrp,B_all,mdd,XM,0.8466666666666667,900,0.782029988011851,0.013435403737285842,0.010294452105961895,13,8,8,3,0.0006561279296875
A_hrp,B_all,calmar,TW,0.9511111111111111,900,1.4148886916507095,0.16107660375581626,0.15670352270327575,13,13,13,8,0.000244140625
A_hrp,B_all,calmar,US,0.8966666666666666,900,0.6562885397057681,0.3379664173361553,0.23903401054500417,13,13,13,8,0.000244140625
A_hrp,B_all,calmar,XM,0.9511111111111111,900,0.77420755249729,0.3476049988784845,0.22367311342918805,13,13,13,8,0.000244140625
A_hrp,D_top_cagr,cagr,TW,0.2311111111111111,900,-0.9210867778364293,-0.020063671291896547,-0.021785545654218003,13,0,0,0,0.98046875
A_hrp,D_top_cagr,cagr,US,0.024444444444444446,900,-1.1933969946534821,-0.11814227736704323,-0.09199354522594419,13,0,0,0,0.98046875
A_hrp,D_top_cagr,cagr,XM,0.17666666666666667,900,-0.7904129330743405,-0.10882954833894454,-0.08462614841379179,13,0,0,0,0.98046875
A_hrp,D_top_cagr,mdd,TW,0.7088888888888889,900,0.7094760802951569,0.006680168353708843,0.004157588690739247,13,10,10,6,0.001953125
A_hrp,D_top_cagr,mdd,US,0.84,900,0.7096249301657216,0.019263811621122468,0.020745998910664698,13,10,10,6,0.001953125
A_hrp,D_top_cagr,mdd,XM,0.9955555555555555,900,1.4662925738754484,0.05079728620635933,0.04363825124828438,13,10,10,6,0.001953125
A_hrp,D_top_cagr,calmar,TW,0.27,900,-0.45556252142547415,-0.06702957568272017,-0.07231051389054644,13,0,0,0,0.61279296875
A_hrp,D_top_cagr,calmar,US,0.21888888888888888,900,-0.5203620386159342,-0.5451133393968219,-0.3391378743103115,13,0,0,0,0.61279296875
A_hrp,D_top_cagr,calmar,XM,0.45,900,-0.2694621855407159,-0.1659170876400393,-0.0784231436431676,13,0,0,0,0.61279296875
A_hrp,E_top_calmar,cagr,TW,0.1322222222222222,900,-0.9233026621879876,-0.013635311501895748,-0.014314480151335685,13,0,0,0,0.996826171875
A_hrp,E_top_calmar,cagr,US,0.042222222222222223,900,-1.1814738493553463,-0.06572647595215757,-0.05278288512306367,13,0,0,0,0.996826171875
A_hrp,E_top_calmar,cagr,XM,0.1711111111111111,900,-0.7068655526539838,-0.05947331645349406,-0.0540681011832337,13,0,0,0,0.996826171875
A_hrp,E_top_calmar,mdd,TW,0.37222222222222223,900,-0.19013969386256763,-0.0017073923474398612,-0.0033696172011956904,13,0,0,0,0.25390625
A_hrp,E_top_calmar,mdd,US,0.35,900,-0.3466068382846496,-0.008316011010506138,-0.008486188753016703,13,0,0,0,0.25390625
A_hrp,E_top_calmar,mdd,XM,0.8088888888888889,900,0.8165919923210218,0.019227679057342146,0.014468587178883607,13,0,0,0,0.25390625
