tree_id,level,cluster_id,market,n_members,top_F1,top_C_source,pct_v1,CAGR_median,MDD_median,n_cross_partners,n_high_complement,pct_high_complement,min_cross_corr,best_partner_cluster,universal
XM_normal,L3,57,TW,35,PS94%/PB3%,ROE54%/EPS23%,1.0,0.0994085368382129,-0.6682176401546797,163,149,0.9141104294478528,0.3610282617412076,192,False
XM_normal,L3,22,TW,27,OCF_E63%/EV_S37%,EPS52%/ROE48%,1.0,0.1352074514993024,-0.6644198399699839,163,148,0.9079754601226994,0.3349242388156463,283,False
XM_normal,L3,46,TW,24,MOM100%,FCF_P38%/ROE29%,1.0,0.130410498461726,-0.6484052786527338,163,148,0.9079754601226994,0.3918503561783438,435,False
XM_normal,L3,37,TW,30,EV_S40%/PS40%,ROE37%/FCF_P30%,1.0,0.19869300948965324,-0.6228528642205042,163,147,0.901840490797546,0.3419080330882587,192,False
XM_normal,L3,61,TW,22,EV_S77%/PS23%,ROE59%/EPS41%,1.0,0.11706178750663404,-0.6981076328880051,163,147,0.901840490797546,0.3509911043490184,192,False
XM_normal,L3,86,TW,58,PB50%/P_IC47%,FCF_P64%/無14%,1.0,0.12146301969214049,-0.5682047618441346,163,146,0.8957055214723927,0.3900111328422766,435,False
XM_normal,L3,41,TW,46,MOM70%/P_IC13%,EPS33%/ROE30%,1.0,0.15331977867307114,-0.6527661241529332,163,143,0.8773006134969326,0.392091460142547,386,False
XM_normal,L3,35,TW,28,MOM100%,ROE50%/EPS50%,1.0,0.1877947882038867,-0.5753327225157393,163,142,0.8711656441717791,0.38324832840205597,386,False
XM_normal,L3,62,TW,48,PS94%/EV_S6%,ROE38%/EPS33%,1.0,0.10319706735655815,-0.6570687642351021,163,142,0.8711656441717791,0.31805673818808644,192,False
XM_normal,L3,133,TW,38,PB95%/P_IC5%,EPS32%/ROE32%,0.0,0.204931865663048,-0.5277702334747087,163,141,0.8650306748466258,0.39346796097723535,435,False
XM_normal,L3,21,TW,26,EV_S100%,EPS54%/ROE46%,1.0,0.12382481564593864,-0.6751793781641966,163,141,0.8650306748466258,0.3974968281150796,386,False
XM_normal,L3,85,TW,26,PS38%/PB38%,FCF_P96%/ROE4%,1.0,0.1383783079985565,-0.6052674742087079,163,135,0.8282208588957055,0.4148367866416987,435,False
XM_normal,L3,159,TW,45,PB40%/P_IC31%,ROE51%/EPS49%,0.0,0.2345854304366521,-0.5305348487555634,163,133,0.8159509202453987,0.2606186783885257,192,False
XM_normal,L3,19,TW,28,MOM79%/OCF_E21%,ROE50%/EPS50%,0.0,0.2004175054842275,-0.646112649197466,163,132,0.8098159509202454,0.3977019483301338,435,False
XM_normal,L3,95,TW,64,PS59%/EV_S41%,ROE39%/EPS34%,1.0,0.16148339126591546,-0.5866512195774038,163,132,0.8098159509202454,0.3941066988763562,192,False
XM_normal,L3,158,TW,28,PS32%/EV_S29%,EPS68%/ROE32%,0.0,0.2163767140772008,-0.48812564604694086,163,130,0.7975460122699386,0.2964491439850621,192,False
XM_normal,L3,29,TW,40,MOM100%,EPS40%/ROE35%,1.0,0.13351821872229214,-0.6034034108169557,163,129,0.7914110429447853,0.3122670888769453,192,False
XM_normal,L3,34,TW,20,MOM70%/OCF_E30%,EPS40%/ROE40%,1.0,0.16464652194978474,-0.5896843904231844,163,128,0.7852760736196319,0.3879892312823456,192,False
XM_normal,L3,150,TW,26,PB58%/P_IC42%,ROE31%/EPS31%,1.0,0.15456603475411407,-0.6124092346230419,163,127,0.7791411042944786,0.3829051730579472,435,False
XM_normal,L3,170,TW,34,EV_S50%/PS50%,EPS35%/ROE35%,0.0,0.1833157190219334,-0.529259032521933,163,121,0.7423312883435583,0.3429624435428558,192,False
XM_normal,L3,38,TW,25,P_IC52%/PB48%,ROE36%/EPS32%,1.0,0.1581790941729,-0.633467952288984,163,121,0.7423312883435583,0.3903198237916265,192,False
XM_normal,L3,182,TW,21,OCF_E48%/PB14%,FCF_P100%,0.0,0.1520392562436781,-0.6040243737370137,163,115,0.7055214723926381,0.405980772113093,435,False
XM_normal,L3,59,TW,32,EV_S91%/PS9%,FCF_P72%/無22%,1.0,0.10302731066940335,-0.6716506828441628,163,112,0.6871165644171779,0.3967195460114054,192,False
XM_normal,L3,177,TW,22,MOM91%/P_IC5%,FCF_P100%,0.0,0.12737615924792695,-0.676426094779534,163,109,0.6687116564417178,0.40420117997775296,192,False
XM_normal,L3,172,TW,36,EV_S50%/PS50%,ROE33%/EPS33%,0.0,0.1783318654183,-0.5626246898831884,163,108,0.6625766871165644,0.3797082139214369,192,False
XM_normal,L3,115,TW,96,P_IC38%/PS25%,EPS50%/ROE50%,0.0,0.12647996763676878,-0.5896683666808499,163,105,0.6441717791411042,0.39576413829030294,435,False
XM_normal,L3,143,TW,60,P_IC52%/PB47%,EPS33%/ROE32%,1.0,0.15997381716059422,-0.5587725253507332,163,104,0.6380368098159509,0.4032714480649299,435,False
XM_normal,L3,148,TW,26,PB50%/P_IC35%,FCF_P77%/無23%,1.0,0.12723655812917511,-0.5954525735537283,163,101,0.6196319018404908,0.4081304638707734,435,False
