tree_id,level,version,pair_type,n_clusters,n_pairs,corr_mechanical_floor,corr_median,corr_mean,corr_pred_median,excess_median,pct_below_pred,cluster_r2_median,cluster_size_median,pct_high,ari_raw_vs_resid,market_corr,beta_median,r2_median
TW_normal,L1,raw,same,6,15,-0.2,0.8185861100977246,0.7790111789185533,0.8373929815225254,-0.011182628735964206,0.8,0.8564290297289467,979.5,0.0,0.5507217709427394,,0.9950872861896458,0.880259322279158
TW_normal,L1,resid,same,6,15,-0.2,-0.13311010610123844,-0.17275824417549915,,,,,1028.0,1.0,0.5507217709427394,,0.9950872861896458,0.880259322279158
TW_normal,L3,raw,same,218,23653,-0.004608294930875576,0.8493446560315582,0.826205083993835,0.8442510421013766,-0.0027639538318272594,0.5477106498118632,0.8554316313427812,20.0,0.016530672641948168,0.5075883370768388,,0.9950872861896458,0.880259322279158
TW_normal,L3,resid,same,218,23653,-0.004608294930875576,-0.021063398408414792,0.006119696902052678,,,,,26.5,0.9710818923603771,0.5075883370768388,,0.9950872861896458,0.880259322279158
US_normal,L1,raw,same,7,21,-0.16666666666666666,0.9105604104013372,0.9065572067067619,0.9158048424145186,-0.010311526159543227,0.5714285714285714,0.907141398536605,930.0,0.0,0.5378505656425401,,0.994920492806972,0.8036242968384513
US_normal,L1,resid,same,7,21,-0.16666666666666666,-0.2566677319900307,-0.15489127167284264,,,,,1071.0,1.0,0.5378505656425401,,0.994920492806972,0.8036242968384513
US_normal,L3,raw,same,235,27495,-0.004273504273504274,0.8188531435049217,0.8094217618959881,0.8224447221773349,-0.003545358824125655,0.5410801963993453,0.8351972579683878,26.0,0.008801600290961994,0.5660558685793831,,0.994920492806972,0.8036242968384513
US_normal,L3,resid,same,235,27495,-0.004273504273504274,-0.017683383419307783,0.006782251872743499,,,,,33.0,0.9590107292234952,0.5660558685793831,,0.994920492806972,0.8036242968384513
XM_normal,L1,raw,cross,3,2,-0.5,0.5417957683698452,0.5417957683698452,0.5404403358547845,0.0013554325150607616,0.5,0.9919726464477888,6464.0,0.0,0.2302260411268464,0.551188542217812,0.9946333973645216,0.8364445241395598
XM_normal,L1,raw,same,3,1,-0.5,0.9376513719840324,0.9376513719840324,0.9611405665543089,-0.02348919457027654,1.0,0.9919726464477888,6464.0,0.0,0.2302260411268464,0.551188542217812,0.9946333973645216,0.8364445241395598
XM_normal,L1,resid,cross,3,2,-0.5,-0.3390155340014058,-0.3390155340014058,,,,,3470.0,1.0,0.2302260411268464,0.551188542217812,0.9946333973645216,0.8364445241395598
XM_normal,L1,resid,same,3,1,-0.5,-0.6709414096411661,-0.6709414096411661,,,,,3470.0,1.0,0.2302260411268464,0.551188542217812,0.9946333973645216,0.8364445241395598
XM_normal,L3,raw,cross,453,49496,-0.0022123893805309734,0.45795953872226053,0.44701449983092617,0.4626554346276162,-0.0047331953651330305,0.5571561338289963,0.8469722617940668,23.0,0.805358008727978,0.5368301092110048,0.551188542217812,0.9946333973645216,0.8364445241395598
XM_normal,L3,raw,same,453,52882,-0.0022123893805309734,0.8341540912726665,0.8192700458713476,0.8338074425378272,-0.0030460865692953365,0.5422639083241935,0.8469722617940668,23.0,0.01147838584017246,0.5368301092110048,0.551188542217812,0.9946333973645216,0.8364445241395598
XM_normal,L3,resid,cross,453,50750,-0.0022123893805309734,0.0038980296727007097,0.002980730725415272,,,,,30.0,0.9993103448275862,0.5368301092110048,0.551188542217812,0.9946333973645216,0.8364445241395598
XM_normal,L3,resid,same,453,51628,-0.0022123893805309734,-0.01963182752135984,0.005852119743687575,,,,,30.0,0.9605059270163477,0.5368301092110048,0.551188542217812,0.9946333973645216,0.8364445241395598
