tree_key,scheme,k_mode,ratio,allocation,window_no,is_start,is_end,oos_start,oos_end,n_oos_months,n_clusters,target_total,n_members,n_backfilled,n_capped_clusters,r2_median,max_cluster_share,enb_computed,oos_cagr,oos_mdd,oos_sharpe,oos_enb
TW,A,fixed,legacy,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,30,30,0,0,0.9058335407564877,0.23371762239856267,True,0.2543540154427877,-0.09011895442286055,2.26443850472092,4.409216712636835
TW,A,fixed,legacy,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,30,30,0,0,0.9058335407564877,0.23371762239856267,True,0.26056197300731787,-0.09217400918935859,2.2902432318144665,4.484757884593899
TW,A,fixed,0.01,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,67,67,1,0,0.9058335407564877,0.23371762239856267,True,0.25599724274955404,-0.08485147369565083,2.308677933100042,5.249588984435349
TW,A,fixed,0.01,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,67,67,0,0,0.9058335407564877,0.23371762239856267,True,0.264600583740602,-0.08137321659067409,2.372688677155995,5.35352924006294
TW,A,fixed,0.03,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,200,200,30,0,0.9058335407564877,0.23371762239856267,True,0.2415080702907071,-0.08648911866651232,2.2034318218022158,5.742143271161518
TW,A,fixed,0.03,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,200,200,23,0,0.9058335407564877,0.23371762239856267,True,0.24879517618680747,-0.08218558508673357,2.251845207635941,5.700501643880838
TW,A,fixed,0.05,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,334,334,74,0,0.9058335407564877,0.23371762239856267,True,0.24116939631415923,-0.08706994868233842,2.171861170236056,6.006725091587576
TW,A,fixed,0.05,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,334,334,61,0,0.9058335407564877,0.23371762239856267,True,0.24204853245081304,-0.08523281625368562,2.1747262678683708,5.967390474309925
TW,A,fixed,0.1,equal,1,2007-01,2012-12,2013-01,2014-12,24,6,668,668,283,0,0.9058335407564877,0.23371762239856267,False,0.24330883955853122,-0.08881735657385792,2.1707967854242263,
TW,A,fixed,0.1,proportional,1,2007-01,2012-12,2013-01,2014-12,24,6,668,668,281,0,0.9058335407564877,0.23371762239856267,False,0.24990804319944981,-0.08607979164280133,2.203157727369642,
