tree_id,cluster_a,cluster_b,corr,pair_type,mkt_a,mkt_b
TW_crisis,4,8,0.9280277217647639,same,TW,TW
TW_crisis,5,6,0.7750681269431887,same,TW,TW
TW_crisis,5,7,0.6204974614338977,same,TW,TW
TW_crisis,5,8,0.6878077032157145,same,TW,TW
TW_crisis,6,7,0.9515287722076895,same,TW,TW
TW_crisis,6,8,0.9475363833518953,same,TW,TW
TW_crisis,7,8,0.9866109263514481,same,TW,TW
US_crisis,1,2,0.8537472050817911,same,US,US
US_crisis,1,3,0.9456944096482353,same,US,US
US_crisis,1,4,0.8853109481452159,same,US,US
US_crisis,1,5,0.957935672103662,same,US,US
US_crisis,1,6,0.9340475999707671,same,US,US
US_crisis,1,7,0.9016740175397202,same,US,US
US_crisis,1,8,0.931863330633208,same,US,US
US_crisis,2,3,0.9395777221203803,same,US,US
US_crisis,2,4,0.917634736988736,same,US,US
US_crisis,2,5,0.923816477278341,same,US,US
US_crisis,2,6,0.9364653617912807,same,US,US
US_crisis,2,7,0.9349379745711938,same,US,US
US_crisis,2,8,0.9275737842123816,same,US,US
US_crisis,3,4,0.909258232539845,same,US,US
US_crisis,3,5,0.9359195325683445,same,US,US
US_crisis,3,6,0.9527657626559084,same,US,US
US_crisis,3,7,0.9147022193465654,same,US,US
US_crisis,3,8,0.9304399213087603,same,US,US
US_crisis,4,5,0.9611374826142773,same,US,US
US_crisis,4,6,0.9707011200645433,same,US,US
US_crisis,4,7,0.9482147079390633,same,US,US
US_crisis,4,8,0.9438945742760482,same,US,US
US_crisis,5,6,0.9743678209134852,same,US,US
US_crisis,5,7,0.9643909144061821,same,US,US
US_crisis,5,8,0.9710455687024032,same,US,US
US_crisis,6,7,0.9747390428975743,same,US,US
US_crisis,6,8,0.9749839147058111,same,US,US
US_crisis,7,8,0.9791084123741896,same,US,US
XM_crisis,1,2,0.9624851347397175,same,TW,TW
XM_crisis,1,3,0.9270711449667524,same,TW,TW
XM_crisis,1,4,0.957988965404748,same,TW,TW
XM_crisis,1,5,0.4448275237775676,cross,TW,US
XM_crisis,1,6,0.47057339529014097,cross,TW,MIX
XM_crisis,1,7,0.4175055489386265,cross,TW,US
XM_crisis,1,8,0.4293235697214601,cross,TW,US
XM_crisis,2,3,0.944919848811307,same,TW,TW
XM_crisis,2,4,0.9551465083802251,same,TW,TW
XM_crisis,2,5,0.5132064408518248,cross,TW,US
XM_crisis,2,6,0.5128755688792256,cross,TW,MIX
XM_crisis,2,7,0.5061270079648998,cross,TW,US
XM_crisis,2,8,0.49599274307838703,cross,TW,US
XM_crisis,3,4,0.9763441603552283,same,TW,TW
XM_crisis,3,5,0.6387720831448667,cross,TW,US
XM_crisis,3,6,0.638142019743238,cross,TW,MIX
XM_crisis,3,7,0.6129184849547014,cross,TW,US
XM_crisis,3,8,0.6048194587039665,cross,TW,US
XM_crisis,4,5,0.6021074696352384,cross,TW,US
XM_crisis,4,6,0.6031450231389437,cross,TW,MIX
XM_crisis,4,7,0.5815233386741102,cross,TW,US
XM_crisis,4,8,0.5811384458825868,cross,TW,US
XM_crisis,5,6,0.97104005846001,cross,US,MIX
XM_crisis,5,7,0.9681165628132744,same,US,US
XM_crisis,5,8,0.9471807347383159,same,US,US
XM_crisis,6,7,0.9121525629945348,cross,MIX,US
XM_crisis,6,8,0.9197073315194397,cross,MIX,US
XM_crisis,7,8,0.9814795272192239,same,US,US
