C,C12_EPS_DYN_yoy,C13_EPS_DYN_ytdavg_gt_lyytdavg,C9_EPS_DYN_riseq2,C14_EPS_DYN_ytdavg_gt_lyavg,C10_EPS_DYN_qmax4,C5_ROE_DYN_yoy,C8_EPS_DYN_riseq1,C16_FCF_P_DYN_riseq2,C17_FCF_P_DYN_qmax4,C6_ROE_DYN_ytdavg_gt_lyytdavg,C7_ROE_DYN_ytdavg_gt_lyavg,C2_ROE_DYN_riseq2,C11_EPS_DYN_qmax8,C19_FCF_P_DYN_yoy,C15_FCF_P_DYN_riseq1,C1_ROE_DYN_riseq1,C20_FCF_P_DYN_ytdavg_gt_lyytdavg,C18_FCF_P_DYN_qmax8,C3_ROE_DYN_qmax4,C4_ROE_DYN_qmax8
C12_EPS_DYN_yoy,1.0,0.9327550491505435,0.414769905383172,0.594628567094149,0.6884507510289738,0.7946964730444079,0.5513692259624675,0.0530208214813972,0.24282698250157575,0.6673077999736322,0.3680213542541452,0.1885961347788632,0.5408167135326084,0.10440720453236098,0.3443572141945108,0.07941745363522586,0.11974925366665042,0.19150742179528163,0.13466689061182177,-0.034236518591962896
C13_EPS_DYN_ytdavg_gt_lyytdavg,0.9327550491505435,1.0,0.4424596402068242,0.673202614379085,0.6495547284032891,0.7129673274854752,0.5477572073316754,0.10399724041776608,0.222868773557134,0.6670134204552227,0.4067765081532291,0.18445314940934465,0.5152634877290697,0.03831809964475797,0.31187433064779746,0.0852924019382092,0.06325547627174662,0.21783181357649442,0.06956567281974041,-0.07465139505189568
C9_EPS_DYN_riseq2,0.414769905383172,0.4424596402068242,1.0,0.7542545064447442,0.6230714078023214,0.19315089027229201,0.7696778259982265,0.012696245487234224,-0.1505200403823683,0.10685254114540722,0.572252111676392,0.7441426602878418,0.5052943163080835,-0.31607691432472407,-0.05943576656968397,0.3380072854415783,-0.40371351635431735,-0.13138175966711638,0.29996550522207593,0.0881242245447502
C14_EPS_DYN_ytdavg_gt_lyavg,0.594628567094149,0.673202614379085,0.7542545064447442,1.0,0.7767989207288332,0.2991112628158936,0.787564542257909,-0.18614538013787074,-0.10886443552275843,0.26334686034310567,0.7466764913573424,0.427556451336176,0.49389117349067285,-0.36212653984869253,-0.09341944385749142,0.2819613983568927,-0.32823496903597027,-0.14760333533800368,0.17027597628348567,-0.12232281694108978
C10_EPS_DYN_qmax4,0.6884507510289738,0.6495547284032891,0.6230714078023214,0.7767989207288332,1.0,0.3488325052780622,0.7883682164032602,-0.29234053389247383,-0.04449645751272785,0.26883532265259424,0.5054821412768847,0.258701804383907,0.6809088561278799,-0.2259895576541384,0.04208362906735873,0.346560545559294,-0.24451198919284026,-0.12120489717485963,0.39346080147081397,0.05234718000675447
C5_ROE_DYN_yoy,0.7946964730444079,0.7129673274854752,0.19315089027229201,0.2991112628158936,0.3488325052780622,1.0,0.3304057922330763,0.1922876178195327,0.4243092465870939,0.859143915464316,0.3963486103661323,0.22786780734215026,0.1709911559723825,0.24416523540428423,0.4030200087772053,-0.11814912941320951,0.3078378998278873,0.2847986389913799,-0.03790813553016306,-0.04227326004547532
C8_EPS_DYN_riseq1,0.5513692259624675,0.5477572073316754,0.7696778259982265,0.787564542257909,0.7883682164032602,0.3304057922330763,1.0,-0.21307117302111045,-0.14441753490564505,0.21143492858136162,0.5681488585118122,0.5142051662702476,0.5450843135448893,-0.2867310689588537,0.005706989436651514,0.4391420010944416,-0.3498547065505764,-0.1442929202628827,0.36247690565587937,0.1242769190203483
C16_FCF_P_DYN_riseq2,0.0530208214813972,0.10399724041776608,0.012696245487234224,-0.18614538013787074,-0.29234053389247383,0.1922876178195327,-0.21307117302111045,1.0,0.4298356350922058,0.24094331478561767,-0.11930316936574759,0.14118297222177073,-0.15579178157400936,0.42536395602728516,0.36819473114842327,-0.30379063295208475,0.3419895359820266,0.27943117930602285,-0.18591962897344624,0.040637015605726495
C17_FCF_P_DYN_qmax4,0.24282698250157575,0.222868773557134,-0.1505200403823683,-0.10886443552275843,-0.04449645751272785,0.4243092465870939,-0.14441753490564505,0.4298356350922058,1.0,0.4169208624778087,0.012080396310684171,-0.04345980816569052,-0.1075496607411501,0.5284166535730991,0.5481346632785932,-0.190701941640615,0.6298222706232719,0.5861186512000028,-0.12717014594361278,-0.03262555828262962
C6_ROE_DYN_ytdavg_gt_lyytdavg,0.6673077999736322,0.6670134204552227,0.10685254114540722,0.26334686034310567,0.26883532265259424,0.859143915464316,0.21143492858136162,0.24094331478561767,0.4169208624778087,1.0,0.5059498976895723,0.16320906183234093,0.056278862286371675,0.197460028498827,0.3251683652184278,-0.23670641693169853,0.33625184438701333,0.26455508057510563,-0.1176055206092753,-0.15084692806845498
C7_ROE_DYN_ytdavg_gt_lyavg,0.3680213542541452,0.4067765081532291,0.572252111676392,0.7466764913573424,0.5054821412768847,0.3963486103661323,0.5681488585118122,-0.11930316936574759,0.012080396310684171,0.5059498976895723,1.0,0.5166306367808245,0.12905381365957086,-0.2534860494810432,-0.061323046304272835,0.09656912410354213,-0.15575204936907064,-0.15432530200990777,0.07266839682359082,-0.15651599130948318
